Generation 0 - Individual Bot Performance
==================================================
Format: BotID | Profit% | WinRate | Trades | FinalBalance | Fitness | Sharpe | MaxDD | SurvivedGens
    61 |   -0.55% |  25.00% |      4 | $     99.45 | 9989.17 |  -0.11 |  0.55% |   0
    62 |   -8.19% |  35.96% |    634 | $     91.81 |   -5.30 |  -0.25 | 32.30% |   0
    63 |  -40.94% |  28.97% |  13625 | $     59.06 |  -60.69 |  -0.81 | 50.27% |   0
    64 |   -0.21% |  14.29% |      7 | $     99.79 | 9987.44 |  -0.04 |  0.42% |   0
    65 |  -41.29% |  24.68% |   2958 | $     58.71 |  -82.21 |  -0.29 | 140.10% |   0
    66 |  -89.93% |  24.28% |   6393 | $     10.07 | -134.84 |  -1.00 | 90.13% |   0
    67 |   -8.36% |  49.44% |     89 | $     91.64 |   65.09 |  -0.74 | 11.28% |   0
    68 |  -38.57% |  24.14% |   2299 | $     61.43 |  -52.93 |  -0.95 | 40.79% |   0
    69 |   +1.42% |  19.67% |    905 | $    101.42 |  637.97 |   0.28 |  3.21% |   0
    70 |   +2.84% |  72.22% |     36 | $    102.84 |    3.74 |   0.17 | 17.09% |   0
    71 |   -0.25% |  36.36% |     11 | $     99.75 | 9990.75 |  -0.05 |  2.54% |   0
    72 |  -48.46% |  27.33% |   2682 | $     51.54 |  -82.68 |  -0.50 | 96.07% |   0
    73 |  -65.64% |  22.97% |   6235 | $     34.36 | -109.50 |  -0.73 | 90.19% |   0
    74 |   +0.00% |  66.67% |      3 | $    100.00 | 9978.32 |   0.00 | 40.03% |   0
    75 |  -14.60% |  21.57% |   2828 | $     85.40 |  -44.29 |  -0.21 | 70.25% |   0
    76 |   +0.00% |  66.67% |      3 | $    100.00 | 9983.32 |   0.00 | 30.02% |   0
    77 |  -42.90% |  24.87% |   4564 | $     57.10 |  -83.58 |  -0.48 | 90.01% |   0
    78 |  -11.85% |  33.12% |   1567 | $     88.15 |  -41.82 |  -0.17 | 70.88% |   0
    79 |  -11.86% |  36.84% |     19 | $     88.14 |   36.79 |  -0.12 | 100.07% |   0
    80 |   -0.48% |  41.18% |     17 | $     99.52 |   39.59 |  -0.10 |  2.00% |   0
    81 |  -62.07% |  33.02% |   2886 | $     37.93 |  -86.28 |  -0.99 | 62.64% |   0
    82 |   +6.08% |  80.00% |      5 | $    106.08 | 10003.79 |   0.92 |  6.58% |   0
    83 |  -90.01% |  15.24% |  15540 | $      9.99 | 9849.49 |  -0.93 | 97.09% |   0
    84 | -100.00% |  60.68% |   1597 | $      0.00 | -165.75 |  -0.69 | 145.77% |   0
    85 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
    86 |  -19.73% |  17.56% |   5764 | $     80.27 |  -13.74 |  -0.57 | 34.49% |   0
    87 |  -28.77% |  34.10% |   1824 | $     71.23 |    4.16 |  -0.89 | 32.42% |   0
    88 |  -41.53% |  27.00% |   1867 | $     58.47 |  -72.09 |  -0.35 | 120.08% |   0
    89 |   -0.27% |  31.58% |     19 | $     99.73 |    0.91 |  -0.03 |  9.48% |   0
    90 |   +1.13% |  48.47% |    196 | $    101.13 |   12.09 |   0.19 |  6.01% |   0
    91 |   -1.67% |  43.09% |    304 | $     98.33 |  123.95 |  -0.15 | 11.52% |   0
    92 |   +3.94% |  29.42% |    452 | $    103.94 |   28.32 |   0.23 | 16.85% |   0
    93 |   +0.56% |  31.25% |     80 | $    100.56 |   21.93 |   0.04 | 14.92% |   0
    94 |   -1.49% |  16.67% |      6 | $     98.51 | 9986.08 |  -0.30 |  1.53% |   0
    95 |   -2.05% |  24.49% |    731 | $     97.95 |   -2.83 |  -0.36 |  5.77% |   0
    96 |   -6.23% |  23.53% |     17 | $     93.77 |  -11.76 |  -0.59 | 10.48% |   0
    97 |   -0.64% |   0.00% |      4 | $     99.36 |   -5.96 |  -0.13 |  0.64% |   0
    98 | -100.00% |  23.04% |   5668 | $      0.00 | -184.69 |  -0.58 | 172.46% |   0
    99 |  -14.17% |  38.02% |   2725 | $     85.83 |   -8.28 |  -0.61 | 23.29% |   0
   100 |   -1.60% |  50.94% |    212 | $     98.40 |   21.22 |  -0.32 |  4.87% |   0
   101 |   -6.37% |  24.75% |   2004 | $     93.63 |   38.49 |  -0.35 | 18.00% |   0
   102 |  -51.06% |  20.16% |   5393 | $     48.94 |  -74.47 |  -0.57 | 90.09% |   0
   103 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   104 |   -4.70% |  24.71% |   1190 | $     95.30 |   -0.87 |  -0.35 | 13.38% |   0
   105 |  -17.03% |  23.39% |   1830 | $     82.97 |  -26.13 |  -0.22 | 76.09% |   0
   106 |   -4.04% |  27.27% |     11 | $     95.96 |  133.79 |  -0.45 |  8.94% |   0
   107 | -100.00% |  57.98% |   1773 | $      0.00 | -151.13 |  -0.87 | 115.45% |   0
   108 |  -36.39% |  22.65% |   2803 | $     63.61 |  -61.18 |  -0.40 | 90.06% |   0
   109 |  -60.07% |  24.67% |   4820 | $     39.93 |  -86.41 |  -0.88 | 68.25% |   0
   110 |   -8.35% |  61.27% |   2076 | $     91.65 |   -6.82 |  -0.73 | 11.44% |   0
   111 |   -5.42% |  57.48% |   1284 | $     94.58 |   -4.48 |  -0.38 | 14.10% |   0
   112 |   +0.00% | 100.00% |      1 | $    100.00 | 10004.99 |   0.00 |  0.02% |   0
   113 |  -90.01% |  23.82% |   8659 | $      9.99 | -131.71 |  -1.00 | 90.27% |   0
   114 |   -7.12% |  31.82% |     22 | $     92.88 |   20.48 |  -0.60 | 11.89% |   0
   115 |   +0.55% |  15.85% |     82 | $    100.55 | 9985.31 |   0.08 |  6.82% |   0
   116 |  -59.01% |  13.07% |   3956 | $     40.99 |  -30.68 |  -0.66 | 90.06% |   0
   117 |   -8.09% |  27.38% |   3429 | $     91.91 |  -12.45 |  -0.75 | 10.80% |   0
   118 |  -19.63% |  27.59% |   3454 | $     80.37 |  -28.19 |  -0.68 | 29.04% |   0
   119 |  -54.03% |  20.89% |   7500 | $     45.97 |  -82.61 |  -0.62 | 87.49% |   0
   120 |   -0.95% |  14.29% |      7 | $     99.05 |    4.91 |  -0.19 |  3.99% |   0
   121 |  -90.06% |  20.79% |   4088 | $      9.94 | -179.88 |  -0.50 | 180.13% |   0
   122 | -100.00% |  30.17% |   2201 | $      0.00 | -157.40 |  -0.82 | 121.46% |   0
   123 |   -0.74% |  20.67% |   1127 | $     99.26 |  -27.48 |  -0.01 | 66.04% |   0
   124 |   -5.28% |  26.25% |   1181 | $     94.72 |    9.74 |  -0.63 |  8.38% |   0
   125 |   +5.94% |  60.00% |      5 | $    105.94 | 10001.69 |   1.19 |  2.50% |   0
