bar,open,high,low,close,volume,gpu,cpu,diff
72,87141.5,87171.3,87077.6,87103.5,9815.0,2360.671875,40.671875,2320.0
73,87120.2,87156.4,87092.1,87139.0,6378.0,2199.734375,48.875,2150.859375
74,87127.1,87285.6,87127.1,87285.6,10418.0,2060.2734375,66.4375,1993.8359375
75,87286.3,87347.0,87230.6,87262.4,6640.0,1925.6796875,77.5859375,1848.09375
76,87267.2,87304.4,87227.4,87265.9,7803.0,1798.5625,85.71875,1712.84375
77,87258.1,87397.0,87246.9,87381.6,5966.0,1687.703125,100.34375,1587.359375
78,87379.2,87416.2,87350.2,87382.5,8104.0,1581.6796875,110.7265625,1470.953125
79,87385.3,87385.3,87203.1,87206.5,8375.0,1466.5546875,103.5625,1362.9921875
80,87197.9,87269.5,87184.0,87255.9,5466.0,1363.5859375,100.703125,1262.8828125
81,87257.0,87259.1,87077.1,87085.8,11182.0,1253.8046875,83.75,1170.0546875
82,87078.5,87191.7,87067.9,87178.3,8493.0,1160.8828125,76.8984375,1083.984375
83,87179.5,87211.0,87081.9,87101.3,4100.0,1068.703125,64.5078125,1004.1953125
84,87101.5,87165.0,87084.1,87164.6,4103.0,989.359375,59.109375,930.25
85,87159.0,87263.8,87159.0,87263.8,7991.0,923.828125,62.125,861.703125
86,87263.8,87364.8,87257.3,87257.3,12821.0,861.4453125,63.2578125,798.1875
87,87254.8,87272.0,87194.2,87201.1,4852.0,798.265625,58.9453125,739.3203125
88,87196.9,87344.5,87196.1,87273.3,9019.0,745.4296875,60.6484375,684.78125
89,87273.3,87299.0,87234.8,87282.5,4458.0,696.2734375,62.03125,634.2421875
90,87282.4,87294.7,87186.6,87234.4,13604.0,645.9921875,58.5703125,587.421875
91,87234.5,87344.6,87234.5,87254.1,5698.0,600.8046875,56.7578125,544.046875
92,87254.0,87260.8,87090.8,87090.8,4446.0,545.53125,41.671875,503.859375
93,87088.6,87156.5,87058.1,87150.2,4771.0,500.75,34.1171875,466.6328125
94,87146.9,87224.5,87120.0,87136.1,7039.0,458.828125,26.6796875,432.1484375
95,87147.1,87212.5,87021.3,87200.3,6592.0,425.8828125,25.671875,400.2109375
96,87208.9,87303.3,87188.9,87287.3,7835.0,402.1484375,31.53125,370.6171875
97,87292.2,87397.9,87289.2,87386.0,6161.0,386.84375,43.6328125,343.2109375
98,87393.5,87497.2,87393.5,87484.7,9223.0,378.3203125,60.4921875,317.828125
99,87479.7,87499.9,87346.1,87346.1,5379.0,356.2734375,61.953125,294.3203125
100,87346.2,87399.9,87346.2,87374.0,3442.0,337.1640625,64.6171875,272.546875
101,87368.5,87480.9,87358.2,87448.0,4521.0,324.2578125,71.8671875,252.390625
102,87444.3,87446.4,87365.9,87396.3,4579.0,306.3203125,72.609375,233.7109375
103,87418.0,87425.2,87303.7,87303.7,4357.0,281.390625,64.9765625,216.4140625
104,87298.5,87299.3,87195.9,87228.9,6647.0,252.6875,52.2890625,200.3984375
105,87225.0,87274.1,87190.0,87274.1,6185.0,230.921875,45.359375,185.5625
106,87269.8,87339.4,87262.9,87336.5,2842.0,216.21875,44.390625,171.828125
107,87332.8,87389.0,87309.1,87343.0,3113.0,202.7578125,43.640625,159.1171875
108,87343.0,87361.8,87296.6,87357.5,5787.0,191.0546875,43.7109375,147.34375
109,87367.3,87367.3,87300.2,87324.3,2920.0,177.0546875,40.625,136.4296875
110,87324.1,87420.1,87299.5,87391.6,3281.0,169.4375,43.1171875,126.3203125
111,87387.3,87426.6,87367.6,87367.6,3299.0,159.625,42.65625,116.96875
112,87370.5,87434.3,87366.8,87434.3,5919.0,155.4453125,47.1328125,108.3125
113,87441.1,87441.1,87327.1,87348.1,4270.0,143.515625,43.2265625,100.2890625
114,87348.0,87402.0,87325.2,87387.7,2276.0,135.6953125,42.828125,92.8671875
115,87379.9,87435.9,87357.2,87418.0,3605.0,130.4375,44.4453125,85.9921875
116,87412.0,87412.0,87284.7,87319.5,3262.0,116.9765625,37.3515625,79.625
117,87323.4,87333.8,87269.7,87269.7,3139.0,101.125,27.390625,73.734375
118,87268.0,87268.0,87192.3,87228.9,4089.0,84.296875,16.0234375,68.2734375
119,87233.8,87283.9,87226.1,87283.9,1985.0,74.5390625,11.3203125,63.21875
120,87283.9,87334.5,87282.3,87327.1,2113.0,69.4921875,10.953125,58.5390625
121,87327.1,87342.2,87293.3,87342.2,2732.0,65.9453125,11.7421875,54.203125
122,87346.3,87440.5,87267.0,87267.0,4450.0,56.4140625,6.2265625,50.1875
123,87267.0,87291.5,87154.6,87233.4,12040.0,45.625,-0.84375,46.46875
124,87229.9,87343.2,87223.0,87322.4,6250.0,43.75,0.7265625,43.0234375
125,87321.5,87395.6,87312.0,87383.6,3558.0,46.6640625,6.828125,39.8359375
126,87388.6,87466.1,87370.7,87449.7,5254.0,53.6875,16.8046875,36.8828125
127,87450.7,87466.7,87295.4,87343.6,16226.0,50.1171875,15.96875,34.1484375
128,87356.8,87381.6,87285.9,87330.1,8568.0,45.671875,14.0546875,31.6171875
129,87339.4,87339.4,87218.9,87218.9,4133.0,32.796875,3.5234375,29.2734375
130,87202.4,87283.3,87168.3,87237.2,3723.0,23.796875,-3.3125,27.109375
131,87239.7,87262.3,87175.9,87235.0,3241.0,16.296875,-8.8046875,25.1015625
132,87247.9,87259.9,87183.5,87198.4,4240.0,7.3203125,-15.921875,23.2421875
133,87205.2,87233.0,87176.7,87185.5,1926.0,-0.8203125,-22.34375,21.5234375
134,87182.6,87182.6,87080.3,87157.2,6053.0,-9.453125,-29.3828125,19.9296875
135,87147.5,87234.0,87147.5,87233.0,3708.0,-10.0625,-28.515625,18.453125
136,87229.2,87275.8,87143.6,87155.3,7892.0,-16.625,-33.7109375,17.0859375
137,87155.4,87198.1,87005.4,87017.6,15190.0,-32.5625,-48.3828125,15.8203125
138,87018.5,87075.7,87005.2,87075.7,9681.0,-40.0390625,-54.6875,14.6484375
139,87068.2,87068.2,86884.7,86918.4,9446.0,-57.9921875,-71.5546875,13.5625
140,86923.9,86925.9,86830.4,86912.9,6178.0,-71.828125,-84.390625,12.5625
141,86915.6,87056.8,86915.6,87049.1,8672.0,-70.984375,-82.6171875,11.6328125
142,87049.1,87251.5,87049.1,87242.7,7613.0,-54.078125,-64.84375,10.765625
143,87227.2,87331.2,87227.2,87306.4,14326.0,-35.1328125,-45.1015625,9.96875
144,87306.3,87306.3,87113.3,87159.9,50306.0,-31.5703125,-40.8046875,9.234375
145,87164.3,87203.0,87143.6,87181.7,14310.0,-26.6796875,-35.234375,8.5546875
146,87183.5,87394.7,87183.5,87356.0,7122.0,-8.6484375,-16.5703125,7.921875
147,87368.6,87397.5,87249.7,87268.0,3750.0,-1.4375,-8.7734375,7.3359375
148,87266.5,87266.5,87183.7,87217.1,3825.0,0.171875,-6.625,6.796875
149,87200.8,87325.8,87200.8,87286.3,5999.0,6.9453125,0.6484375,6.296875
150,87278.5,87324.1,87270.8,87315.4,3828.0,14.5,8.6640625,5.8359375
151,87315.5,87327.8,87211.1,87211.1,2126.0,11.9296875,6.53125,5.3984375
152,87207.4,87207.4,87079.5,87094.4,6031.0,0.46875,-4.53125,5.0
153,87111.9,87161.5,87092.5,87128.8,4104.0,-5.7734375,-10.40625,4.6328125
154,87116.6,87131.4,87081.3,87081.3,2055.0,-14.3828125,-18.671875,4.2890625
155,87080.0,87080.0,86926.0,86933.7,4617.0,-32.7421875,-36.7109375,3.96875
156,86946.5,87017.3,86910.8,87017.3,4854.0,-40.0859375,-43.7578125,3.671875
157,87023.3,87069.6,86971.3,87004.0,3525.0,-46.4453125,-49.84375,3.3984375
158,87004.9,87153.3,87004.9,87103.2,7838.0,-42.984375,-46.125,3.140625
159,87098.0,87153.9,87067.0,87098.1,2920.0,-40.1875,-43.09375,2.90625
160,87101.9,87141.3,87089.1,87089.1,6354.0,-38.2578125,-40.9453125,2.6875
161,87088.1,87152.0,87075.8,87148.2,2718.0,-31.59375,-34.078125,2.484375
162,87148.2,87220.1,87142.5,87220.1,3075.0,-20.2734375,-22.578125,2.3046875
163,87226.1,87260.8,87217.8,87243.1,2324.0,-9.34375,-11.4765625,2.1328125
164,87250.2,87250.2,87197.9,87236.4,2364.0,-1.203125,-3.1796875,1.9765625
165,87239.3,87340.2,87231.4,87340.1,3636.0,13.453125,11.625,1.828125
166,87331.3,87331.3,87163.4,87212.3,16197.0,14.59375,12.8984375,1.6953125
167,87209.9,87275.8,87209.9,87275.7,6730.0,20.375,18.8046875,1.5703125
168,87266.9,87281.3,87238.0,87241.9,3204.0,21.9765625,20.5234375,1.453125
169,87240.0,87266.2,87151.5,87151.5,3662.0,15.7734375,14.4296875,1.34375
170,87144.2,87230.2,87144.2,87230.2,2223.0,17.015625,15.765625,1.25
171,87221.2,87257.5,87178.1,87211.1,3237.0,16.265625,15.109375,1.15625
172,87215.6,87223.3,87083.0,87083.0,6893.0,5.2734375,4.203125,1.0703125
173,87081.0,87085.5,86996.2,87006.1,7449.0,-9.5390625,-10.5234375,0.984375
174,87003.5,87043.2,87003.5,87043.1,6087.0,-18.078125,-18.984375,0.90625
175,87048.4,87072.2,87023.0,87055.9,3957.0,-23.5390625,-24.375,0.8359375
176,87062.6,87110.1,87036.0,87042.7,3693.0,-28.6015625,-29.3828125,0.78125
177,87048.3,87113.2,87048.3,87113.2,3309.0,-26.6171875,-27.34375,0.7265625
178,87113.2,87170.8,87084.3,87104.6,2723.0,-25.4453125,-26.1171875,0.671875
179,87104.6,87104.6,87035.5,87052.0,4439.0,-28.4375,-29.0625,0.625
180,87046.0,87068.7,87030.2,87033.0,1778.0,-31.96875,-32.546875,0.578125
181,87034.8,87046.3,87000.5,87004.0,2719.0,-36.6875,-37.21875,0.53125
182,87001.9,87003.2,86893.3,86893.3,8052.0,-48.796875,-49.2890625,0.4921875
183,86893.3,86991.3,86885.6,86970.4,5381.0,-51.578125,-52.03125,0.453125
184,86976.8,86988.5,86935.2,86935.2,6084.0,-55.9765625,-56.3984375,0.421875
185,86935.1,86936.0,86728.6,86737.0,15394.0,-74.59375,-74.984375,0.390625
186,86737.0,86809.0,86600.0,86688.9,33820.0,-92.171875,-92.53125,0.359375
187,86691.1,86839.5,86691.1,86833.1,5536.0,-93.390625,-93.7265625,0.3359375
188,86830.6,86913.0,86830.6,86846.2,7789.0,-92.234375,-92.546875,0.3125
189,86839.2,86842.7,86651.1,86659.8,12443.0,-105.1484375,-105.4375,0.2890625
190,86672.6,86716.7,86653.2,86716.7,4318.0,-109.53125,-109.796875,0.265625
191,86721.4,86721.4,86618.2,86643.8,3803.0,-117.53125,-117.7734375,0.2421875
192,86646.7,86660.6,86403.9,86496.2,24834.0,-134.234375,-134.4609375,0.2265625
193,86500.8,86584.7,86418.7,86453.0,17044.0,-149.2421875,-149.4453125,0.203125
194,86455.9,86497.4,86401.9,86444.9,7346.0,-159.9453125,-160.1328125,0.1875
195,86440.1,86555.3,86408.2,86526.5,4643.0,-160.0,-160.171875,0.171875
196,86526.5,86618.0,86492.5,86541.7,8116.0,-157.0,-157.15625,0.15625
197,86535.9,86535.9,86402.0,86402.1,4754.0,-163.9921875,-164.140625,0.1484375
198,86410.8,86438.8,86176.2,86180.7,17726.0,-185.2734375,-185.40625,0.1328125
199,86180.7,86411.4,86180.7,86403.0,18165.0,-182.1015625,-182.21875,0.1171875
200,86403.7,86516.5,86308.2,86516.5,9042.0,-168.484375,-168.59375,0.109375
201,86520.8,86776.4,86520.8,86756.3,28362.0,-136.765625,-136.8671875,0.1015625
202,86747.8,86747.8,86580.5,86610.5,10924.0,-121.9921875,-122.0859375,0.09375
203,86610.4,86780.8,86590.9,86748.0,15765.0,-98.0546875,-98.140625,0.0859375
204,86748.0,86786.9,86667.8,86706.6,4021.0,-81.484375,-81.5703125,0.0859375
205,86703.3,86798.4,86669.7,86731.1,5333.0,-65.625,-65.703125,0.078125
206,86722.3,86722.3,86635.2,86676.4,11247.0,-56.8125,-56.8828125,0.0703125
207,86694.1,86698.7,86556.8,86579.7,4820.0,-56.96875,-57.03125,0.0625
208,86571.2,86596.5,86552.1,86578.7,3897.0,-56.5234375,-56.578125,0.0546875
209,86574.5,86660.9,86495.6,86495.6,9383.0,-62.15625,-62.2109375,0.0546875
210,86495.8,86508.7,86253.3,86398.1,9546.0,-73.640625,-73.6953125,0.0546875
211,86398.1,86542.0,86398.1,86528.6,8732.0,-71.390625,-71.4375,0.046875
212,86531.9,86568.2,86352.6,86352.8,9250.0,-82.84375,-82.8828125,0.0390625
213,86377.2,86444.9,86317.1,86433.1,8618.0,-84.4609375,-84.4921875,0.03125
214,86428.1,86534.8,86383.7,86524.9,4693.0,-77.4453125,-77.46875,0.0234375
215,86525.0,86670.4,86509.6,86589.1,7676.0,-65.9453125,-65.96875,0.0234375
216,86578.0,86640.7,86530.3,86562.6,5424.0,-58.296875,-58.3203125,0.0234375
217,86559.3,86609.8,86391.6,86395.6,13155.0,-64.9609375,-64.984375,0.0234375
218,86404.0,86468.1,86379.2,86466.4,3063.0,-63.796875,-63.8203125,0.0234375
219,86466.4,86488.8,86301.9,86347.8,9455.0,-71.6171875,-71.640625,0.0234375
220,86357.6,86492.7,86353.3,86484.3,4486.0,-66.0390625,-66.0625,0.0234375
221,86475.5,86483.5,86409.6,86432.5,7786.0,-65.046875,-65.0703125,0.0234375
222,86432.5,86488.2,86357.0,86447.1,5794.0,-62.359375,-62.3828125,0.0234375
223,86438.5,86438.5,86282.0,86331.4,7853.0,-68.78125,-68.8046875,0.0234375
224,86328.9,86352.0,85852.6,85882.9,137327.0,-108.796875,-108.8203125,0.0234375
225,85887.1,86099.9,85852.2,86006.9,21941.0,-129.0234375,-129.0390625,0.015625
226,86007.0,86190.6,86007.0,86186.3,11137.0,-129.0859375,-129.1015625,0.015625
227,86187.5,86250.8,86051.9,86138.2,10003.0,-131.5,-131.515625,0.015625
228,86153.7,86259.6,86135.6,86209.9,8193.0,-126.171875,-126.1875,0.015625
229,86209.9,86234.3,86131.4,86162.9,4426.0,-124.3125,-124.328125,0.015625
230,86167.4,86250.8,86140.2,86152.9,9285.0,-122.2421875,-122.25,0.0078125
231,86169.3,86169.3,85990.9,86043.0,9036.0,-127.9921875,-128.0,0.0078125
232,86033.5,86036.6,85656.5,85703.8,56064.0,-158.09375,-158.1015625,0.0078125
233,85703.9,85852.2,85703.9,85767.8,27207.0,-174.7734375,-174.78125,0.0078125
234,85762.0,85850.4,85727.8,85815.1,7963.0,-182.0703125,-182.078125,0.0078125
235,85832.0,85832.0,85600.1,85702.0,20876.0,-194.734375,-194.7421875,0.0078125
236,85701.9,85803.3,85600.1,85627.9,31337.0,-208.3515625,-208.359375,0.0078125
237,85624.6,85683.4,85558.8,85574.3,29383.0,-220.921875,-220.9296875,0.0078125
238,85574.0,85631.1,85473.9,85502.9,21038.0,-233.953125,-233.9609375,0.0078125
239,85529.6,85593.1,85345.5,85439.8,37207.0,-246.53125,-246.53125,0.0
240,85439.7,85659.3,85427.1,85647.1,10836.0,-237.0390625,-237.0390625,0.0
241,85625.5,85680.6,85510.3,85680.6,6731.0,-224.2265625,-224.2265625,0.0
242,85680.5,85680.9,85575.1,85613.4,6608.0,-216.9921875,-216.9921875,0.0
243,85626.1,85699.9,85549.1,85575.0,10137.0,-211.921875,-211.921875,0.0
244,85598.0,85715.5,85572.4,85672.9,7328.0,-197.71875,-197.71875,0.0
245,85673.0,85999.4,85673.0,85932.5,15574.0,-163.625,-163.625,0.0
246,85934.9,86054.4,85926.3,85992.9,11959.0,-130.234375,-130.234375,0.0
247,86000.8,86040.4,85902.2,85936.9,8689.0,-107.0546875,-107.0546875,0.0
248,85937.8,86035.6,85926.0,86014.1,10299.0,-81.515625,-81.515625,0.0
249,86025.2,86025.2,85833.7,85839.4,5731.0,-74.5078125,-74.5078125,0.0
250,85839.5,85941.5,85839.4,85930.4,4302.0,-60.9140625,-60.9140625,0.0
251,85921.9,85930.2,85830.6,85879.7,6486.0,-53.6171875,-53.6171875,0.0
