bar,open,high,low,close,volume,gpu_value,cpu_value,diff
0,88066.7,88174.6,88048.0,88155.1,5735.0,-680182.1,3968.3157,684150.44
1,88146.7,88160.1,88081.7,88081.7,4816.0,-1.079984e+06,-847.6843,1.0791364e+06
2,88080.4,88080.4,87849.9,87850.0,10862.0,-1.0794255e+06,-11700.112,1.0677254e+06
3,87857.1,87944.5,87780.2,87930.1,15390.0,-1.0794255e+06,992.4297,1.0804179e+06
4,87930.2,88039.6,87930.2,87991.6,4863.0,-898215.44,1588.0195,899803.44
5,87980.8,87980.8,87852.6,87856.9,2161.0,-1.130504e+06,-428.11478,1.1300759e+06
6,87862.5,87869.1,87773.9,87797.8,3002.0,-1.4928778e+06,-1922.956,1.4909548e+06
7,87794.2,87794.2,87660.4,87672.7,7045.0,-1.6878721e+06,-7672.239,1.6801999e+06
8,87672.6,87704.8,87569.3,87664.0,6992.0,-1.6878721e+06,-4890.5967,1.6829815e+06
9,87657.2,87718.7,87621.5,87639.1,4116.0,-1.6878721e+06,-7515.9443,1.6803561e+06
10,87649.7,87726.9,87580.2,87580.2,5538.0,-2.0077549e+06,-13053.944,1.9947009e+06
11,87583.2,87604.9,87412.0,87430.1,7937.0,-2.166389e+06,-19501.33,2.1468878e+06
12,87427.6,87504.4,87326.9,87504.4,28049.0,-2.166389e+06,8547.67,2.1749368e+06
13,87505.9,87647.8,87477.7,87600.8,5425.0,-2.0164829e+06,10974.617,2.0274575e+06
14,87596.5,87649.2,87531.3,87564.6,5409.0,-2.0164829e+06,8621.351,2.0251042e+06
15,87564.6,87669.2,87529.0,87648.0,5356.0,221555.8,12357.359,209198.44
16,87649.4,87731.5,87631.9,87721.9,8400.0,233022.94,19137.844,213885.1
17,87708.6,87759.6,87682.4,87759.6,6562.0,-977136.5,25699.844,1.0028364e+06
18,87750.7,87750.7,87519.8,87519.8,4150.0,-977136.5,21549.844,998686.4
19,87502.6,87590.1,87498.4,87562.6,3954.0,-977136.5,23132.387,1.0002689e+06
20,87566.9,87578.4,87328.7,87343.5,11941.0,-977136.5,12606.628,989743.1
