bar,open,high,low,close,volume,gpu_value,cpu_value,diff
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,-87657.2,-4816.0,82841.2
2,88080.4,88080.4,87849.9,87850.0,10862.0,-175253.7,-15678.0,159575.7
3,87857.1,87944.5,87780.2,87930.1,15390.0,-87751.1,-288.0,87463.1
4,87930.2,88039.6,87930.2,87991.6,4863.0,-175123.6,4575.0,179698.6
5,87980.8,87980.8,87852.6,87856.9,2161.0,-262324.5,2414.0,264738.5
6,87862.5,87869.1,87773.9,87797.8,3002.0,-349608.2,-588.0,349020.2
7,87794.2,87794.2,87660.4,87672.7,7045.0,-436485.88,-7633.0,428852.88
8,87672.6,87704.8,87569.3,87664.0,6992.0,-349448.78,-14625.0,334823.78
9,87657.2,87718.7,87621.5,87639.1,4116.0,-262511.06,-18741.0,243770.06
10,87649.7,87726.9,87580.2,87580.2,5538.0,-349224.47,-24279.0,324945.47
11,87583.2,87604.9,87412.0,87430.1,7937.0,-262663.38,-32216.0,230447.38
12,87427.6,87504.4,87326.9,87504.4,28049.0,-175782.58,-4167.0,171615.58
13,87505.9,87647.8,87477.7,87600.8,5425.0,-88739.78,1258.0,89997.78
14,87596.5,87649.2,87531.3,87564.6,5409.0,-1612.6797,-4151.0,2538.3203
15,87564.6,87669.2,87529.0,87648.0,5356.0,85772.62,1205.0,84567.62
16,87649.4,87731.5,87631.9,87721.9,8400.0,-1328.8828,9605.0,10933.883
17,87708.6,87759.6,87682.4,87759.6,6562.0,85944.414,16167.0,69777.414
18,87750.7,87750.7,87519.8,87519.8,4150.0,-1202.4844,12017.0,13219.484
19,87502.6,87590.1,87498.4,87562.6,3954.0,86277.22,15971.0,70306.22
20,87566.9,87578.4,87328.7,87343.5,11941.0,173575.72,4030.0,169545.72
21,87343.4,87344.0,87227.3,87256.3,12379.0,86208.42,-8349.0,94557.42
22,87252.7,87420.8,87252.7,87392.1,3767.0,173556.42,-4582.0,178138.42
23,87392.1,87404.4,87287.0,87371.4,6300.0,86322.625,-10882.0,97204.625
24,87372.5,87475.6,87339.6,87471.7,3668.0,-907.27344,-7214.0,6306.7266
25,87471.1,87484.4,87403.9,87439.2,2831.0,86432.125,-10045.0,96477.125
26,87436.2,87436.2,87315.9,87370.4,3545.0,-750.47656,-13590.0,12839.523
27,87363.6,87377.7,87303.3,87303.3,4063.0,-87818.68,-17653.0,70165.68
28,87303.2,87318.1,87204.0,87204.0,3420.0,-512.3828,-21073.0,20560.617
29,87200.9,87280.4,87200.9,87257.5,3839.0,86688.414,-17234.0,103922.414
30,87263.5,87278.8,87211.2,87226.8,13526.0,-428.1875,-30760.0,30331.812
31,87226.1,87258.0,87206.6,87206.6,2066.0,-87526.19,-32826.0,54700.188
32,87205.6,87205.6,87154.6,87173.2,5683.0,-275.98438,-38509.0,38233.016
33,87173.3,87298.7,87173.3,87286.8,7188.0,86964.016,-31321.0,118285.016
34,87283.7,87286.9,87182.4,87186.8,7126.0,-39.484375,-38447.0,38407.516
35,87183.8,87183.8,87080.0,87080.0,7382.0,87065.12,-45829.0,132894.12
36,87080.0,87113.9,86878.6,86895.9,34739.0,88.32031,-80568.0,80656.32
37,86901.3,86939.1,86776.4,86781.0,17855.0,-86750.88,-98423.0,11672.117
38,86790.1,86895.4,86767.0,86877.6,13092.0,-173206.78,-85331.0,87875.78
39,86877.7,86894.4,86752.5,86799.2,5481.0,-259387.48,-90812.0,168575.48
40,86806.7,86985.6,86797.5,86985.6,5524.0,-172639.48,-85288.0,87351.484
41,86985.6,87091.2,86985.6,87037.7,6819.0,-259213.98,-78469.0,180744.98
42,87042.2,87085.2,87006.2,87022.0,9574.0,-345642.1,-88043.0,257599.1
43,87016.0,87059.1,86992.0,87055.7,4562.0,-259175.69,-83481.0,175694.69
44,87037.1,87118.4,87034.5,87034.5,4385.0,-172846.78,-87866.0,84980.78
45,87034.0,87079.4,86918.0,86918.1,5614.0,-259056.69,-93480.0,165576.69
46,86922.3,86999.7,86852.1,86965.0,3934.0,-344818.7,-89546.0,255272.69
47,86973.7,87026.1,86973.7,87022.1,3649.0,-430348.28,-85897.0,344451.28
48,87024.4,87024.4,86888.0,86937.6,4724.0,-344750.28,-90621.0,254129.28
49,86937.7,86946.2,86784.8,86834.6,8186.0,-258725.08,-98807.0,159918.08
50,86834.1,86875.0,86816.4,86816.4,3229.0,-344554.28,-102036.0,242518.28
51,86811.0,86811.0,86736.8,86747.7,8672.0,-430179.0,-110708.0,319471.0
52,86747.7,86754.9,86632.4,86663.7,10621.0,-344521.7,-121329.0,223192.69
53,86662.6,86733.1,86656.0,86711.6,5251.0,-430126.2,-116078.0,314048.2
54,86713.4,86797.0,86694.8,86776.0,8816.0,-344462.78,-107262.0,237200.78
55,86771.9,86843.4,86754.9,86843.1,8289.0,-258607.28,-98973.0,159634.28
56,86839.4,86843.2,86788.6,86793.6,4040.0,-172539.78,-103013.0,69526.78
57,86791.6,86810.2,86771.6,86771.6,1637.0,-258497.48,-104650.0,153847.48
58,86771.7,86775.9,86561.1,86561.5,18764.0,-344463.78,-123414.0,221049.78
59,86561.1,86653.2,86547.3,86632.5,11099.0,-258499.58,-112315.0,146184.58
60,86623.2,86749.9,86578.5,86691.8,11360.0,-344321.88,-100955.0,243366.88
61,86692.1,86807.3,86674.1,86777.2,4944.0,-429966.56,-96011.0,333955.56
