BotID,Cycle,EntryPrice,ExitPrice,EntryBar,ExitBar,Leverage,PnL,Direction,ChunkID,OutOfCycle,Signature
2,1,26151.0996,25710.0586,10280,10281,125.0,-3.23,SHORT,0,0,10280:10281:SHORT:-323
2,3,29443.0,28946.4414,30440,30441,125.0,-3.23,SHORT,0,0,30440:30441:SHORT:-323
2,4,25863.8008,25427.6055,40520,40521,125.0,-3.23,SHORT,0,0,40520:40521:SHORT:-323
2,5,27645.3008,28111.543,50600,50601,125.0,-3.23,LONG,0,0,50600:50601:LONG:-323
2,6,29322.8008,28828.2695,60680,60681,125.0,-3.23,SHORT,0,0,60680:60681:SHORT:-323
2,8,27067.6992,27524.1992,80840,80841,125.0,-3.23,LONG,0,0,80840:80841:LONG:-323
2,9,29043.4004,29533.2207,90920,90921,125.0,-3.23,LONG,0,0,90920:90921:LONG:-323
2,1,26148.5996,25707.6016,10281,10282,125.0,-3.11,SHORT,0,0,10281:10282:SHORT:-311
2,3,29438.0996,28941.623,30441,30442,125.0,-3.11,SHORT,0,0,30441:30442:SHORT:-311
2,5,27644.8008,27178.5684,50601,50602,125.0,-3.11,SHORT,0,0,50601:50602:SHORT:-311
2,6,29298.3008,28804.1836,60681,60682,125.0,-3.11,SHORT,0,0,60681:60682:SHORT:-311
2,8,27063.0,26606.5801,80841,80842,125.0,-3.11,SHORT,0,0,80841:80842:SHORT:-311
2,9,29039.0,28549.2559,90921,90922,125.0,-3.11,SHORT,0,0,90921:90922:SHORT:-311
2,1,26139.0996,25698.2617,10282,10283,125.0,-3.0,SHORT,0,0,10282:10283:SHORT:-300
2,3,29458.5,29955.3223,30442,30443,125.0,-3.0,LONG,0,0,30442:30443:LONG:-300
2,6,29300.0,29794.1484,60682,60683,125.0,-3.0,LONG,0,0,60682:60683:LONG:-300
2,8,27092.1992,27549.1133,80842,80843,125.0,-3.0,LONG,0,0,80842:80843:LONG:-300
2,9,29026.5996,28537.0645,90922,90923,125.0,-3.0,SHORT,0,0,90922:90923:SHORT:-300
2,1,26154.1992,26595.293,10283,10284,125.0,-2.89,LONG,0,0,10283:10284:LONG:-289
2,3,29484.6992,29981.9629,30443,30444,125.0,-2.89,LONG,0,0,30443:30444:LONG:-289
2,5,27659.1992,27192.7246,50603,50604,125.0,-3.0,SHORT,0,0,50603:50604:SHORT:-300
2,6,29268.1992,28774.5879,60683,60684,125.0,-2.89,SHORT,0,0,60683:60684:SHORT:-289
2,7,25614.4004,26046.3906,70763,70764,125.0,-3.23,LONG,0,0,70763:70764:LONG:-323
2,8,27087.5,26630.668,80843,80844,125.0,-2.89,SHORT,0,0,80843:80844:SHORT:-289
2,9,29020.4004,28530.9688,90923,90924,125.0,-2.89,SHORT,0,0,90923:90924:SHORT:-289
2,1,26161.8008,26603.0234,10284,10285,125.0,-2.79,LONG,0,0,10284:10285:LONG:-279
2,3,29454.3008,28957.5527,30444,30445,125.0,-2.79,SHORT,0,0,30444:30445:SHORT:-279
2,7,25600.4004,25168.6484,70764,70765,125.0,-3.11,SHORT,0,0,70764:70765:SHORT:-311
2,8,27095.9004,26638.9258,80844,80845,125.0,-2.79,SHORT,0,0,80844:80845:SHORT:-279
2,9,29018.8008,28529.3965,90924,90925,125.0,-2.79,SHORT,0,0,90924:90925:SHORT:-279
2,1,26161.8008,26603.0234,10285,10286,125.0,-2.69,LONG,0,0,10285:10286:LONG:-269
2,2,27127.0,27584.5,20365,20366,125.0,-3.23,LONG,0,0,20365:20366:LONG:-323
2,3,29506.4004,30004.0293,30445,30446,125.0,-2.69,LONG,0,0,30445:30446:LONG:-269
2,7,25608.9004,25177.0039,70765,70766,125.0,-3.0,SHORT,0,0,70765:70766:SHORT:-300
2,8,27083.4004,26626.6367,80845,80846,125.0,-2.69,SHORT,0,0,80845:80846:SHORT:-269
