BotID,Cycle,EntryPrice,ExitPrice,EntryBar,ExitBar,Leverage,PnL,Direction,ChunkID,OutOfCycle,Signature
1,4,25932.5,26074.0996,41075,41170,19.0,0.09,LONG,0,0,41075:41170:LONG:9
1,4,25868.9004,26074.0996,41076,41170,19.0,0.14,LONG,0,0,41076:41170:LONG:14
1,3,29348.6992,29270.4004,31031,31091,19.0,-0.06,LONG,0,0,31031:31091:LONG:-6
1,3,29173.8008,29270.4004,31078,31091,19.0,0.05,LONG,0,0,31078:31091:LONG:5
1,4,26074.0996,25988.6992,41170,41244,19.0,0.05,SHORT,0,0,41170:41244:SHORT:5
1,4,25988.6992,25975.3008,41244,41281,19.0,-0.02,LONG,0,0,41244:41281:LONG:-2
1,0,29266.6992,29165.3008,809,1030,19.0,0.05,SHORT,0,0,809:1030:SHORT:5
1,0,29151.4004,29165.3008,901,1030,19.0,-0.02,SHORT,0,0,901:1030:SHORT:-2
1,0,29165.3008,29646.4004,1030,1143,19.0,0.3,LONG,0,0,1030:1143:LONG:30
1,0,29223.1992,29646.4004,1037,1143,19.0,0.26,LONG,0,0,1037:1143:LONG:26
1,3,29270.4004,29344.5996,31091,31430,19.0,-0.06,SHORT,0,0,31091:31430:SHORT:-6
1,3,29431.6992,29344.5996,31205,31430,19.0,0.04,SHORT,0,0,31205:31430:SHORT:4
1,2,27790.4004,27589.9004,20696,21424,19.0,0.12,SHORT,0,0,20696:21424:SHORT:12
1,2,27619.0996,27589.9004,20732,21424,19.0,0.01,SHORT,0,0,20732:21424:SHORT:1
1,4,25975.3008,25749.6992,41281,41594,19.0,0.15,SHORT,0,0,41281:41594:SHORT:15
1,4,26007.3008,25749.6992,41295,41594,19.0,0.17,SHORT,0,0,41295:41594:SHORT:17
1,1,27441.6992,27198.5,10995,11365,19.0,0.15,SHORT,0,0,10995:11365:SHORT:15
1,3,29344.5996,28900.5,31430,31553,19.0,-0.3,LONG,0,0,31430:31553:LONG:-30
1,1,27198.5,27478.0996,11365,11396,19.0,0.18,LONG,0,0,11365:11396:LONG:18
1,1,27310.0,27478.0996,11392,11396,19.0,0.1,LONG,0,0,11392:11396:LONG:10
1,1,27735.4004,27344.3359,10927,11397,19.0,0.25,SHORT,0,0,10927:11397:SHORT:25
1,1,27478.0996,27426.4004,11396,11397,19.0,0.02,SHORT,0,0,11396:11397:SHORT:2
1,1,27426.4004,27124.4004,11397,11400,19.0,-0.22,LONG,0,0,11397:11400:LONG:-22
1,4,25749.6992,25750.4004,41594,41641,19.0,-0.01,LONG,0,0,41594:41641:LONG:-1
1,3,28900.5,28857.1992,31553,31562,19.0,0.01,SHORT,0,0,31553:31562:SHORT:1
1,3,28878.9004,28857.1992,31561,31562,19.0,0.0,SHORT,0,0,31561:31562:SHORT:0
1,3,28857.1992,28891.9004,31562,31566,19.0,0.01,LONG,0,0,31562:31566:LONG:1
1,3,28891.9004,28892.5996,31566,31568,19.0,-0.01,SHORT,0,0,31566:31568:SHORT:-1
1,2,27589.9004,27963.3008,21424,21496,19.0,0.24,LONG,0,0,21424:21496:LONG:24
1,2,27688.0,27963.3008,21447,21496,19.0,0.18,LONG,0,0,21447:21496:LONG:18
1,4,25750.4004,25718.3008,41641,41681,19.0,0.01,SHORT,0,0,41641:41681:SHORT:1
1,4,25822.1992,25718.3008,41650,41681,19.0,0.06,SHORT,0,0,41650:41681:SHORT:6
1,3,28892.5996,29019.0,31568,31609,19.0,0.07,LONG,0,0,31568:31609:LONG:7
1,3,28957.0,29019.0,31607,31609,19.0,0.03,LONG,0,0,31607:31609:LONG:3
1,4,25718.3008,25764.1992,41681,41698,19.0,0.02,LONG,0,0,41681:41698:LONG:2
1,3,29019.0,29142.8008,31609,31636,19.0,-0.1,SHORT,0,0,31609:31636:SHORT:-10
1,3,29142.8008,29742.1738,31636,31746,19.0,0.38,LONG,0,0,31636:31746:LONG:38
1,3,29275.9004,29742.1738,31644,31746,19.0,0.29,LONG,0,0,31644:31746:LONG:29
1,2,27963.3008,27666.4238,21496,21741,19.0,0.19,SHORT,0,0,21496:21741:SHORT:19
1,2,27995.9004,27666.4238,21497,21741,19.0,0.21,SHORT,0,0,21497:21741:SHORT:21
1,0,29646.4004,29225.5996,1143,1583,19.0,0.26,SHORT,0,0,1143:1583:SHORT:26
1,0,29252.5,29225.5996,1508,1583,19.0,0.0,SHORT,0,0,1508:1583:SHORT:0
1,1,27124.4004,26095.3691,11400,11692,19.0,0.71,SHORT,0,0,11400:11692:SHORT:71
1,1,27137.1992,26095.3691,11421,11692,19.0,0.72,SHORT,0,0,11421:11692:SHORT:72
1,1,26065.9004,25936.0,11693,11709,19.0,-0.11,LONG,0,0,11693:11709:LONG:-11
1,1,25936.0,25655.0098,11709,11770,19.0,0.19,SHORT,0,0,11709:11770:SHORT:19
1,3,29533.5,29130.9004,31802,31960,19.0,0.25,SHORT,0,0,31802:31960:SHORT:25
1,3,29130.9004,29214.8008,31960,31996,19.0,0.04,LONG,0,0,31960:31996:LONG:4
1,2,27439.5996,27880.5781,21778,21948,19.0,0.29,LONG,0,0,21778:21948:LONG:29
1,4,25764.1992,25828.3008,41698,42117,19.0,-0.06,SHORT,0,0,41698:42117:SHORT:-6
1,4,25725.8008,25828.3008,41755,42117,19.0,-0.09,SHORT,0,0,41755:42117:SHORT:-9
1,1,25678.6992,25787.0,11770,11916,19.0,0.07,LONG,0,0,11770:11916:LONG:7
1,2,27995.1992,28007.0,22016,22019,19.0,-0.01,LONG,0,0,22016:22019:LONG:-1
1,2,27650.1992,28007.0,21717,22019,19.0,0.23,LONG,0,0,21717:22019:LONG:23
1,0,29225.5996,29282.4004,1583,1890,19.0,0.02,LONG,0,0,1583:1890:LONG:2
1,0,29399.3008,29282.4004,1636,1890,19.0,-0.09,LONG,0,0,1636:1890:LONG:-9
1,0,29282.4004,29306.8008,1890,1908,19.0,-0.03,SHORT,0,0,1890:1908:SHORT:-3
1,0,29308.9004,29306.8008,1900,1908,19.0,-0.01,SHORT,0,0,1900:1908:SHORT:-1
1,4,25828.3008,25662.1992,42117,42234,19.0,-0.14,LONG,0,0,42117:42234:LONG:-14
1,3,29214.8008,29285.4004,31996,32167,19.0,-0.06,SHORT,0,0,31996:32167:SHORT:-6
1,3,29156.0,29285.4004,32067,32167,19.0,-0.1,SHORT,0,0,32067:32167:SHORT:-10
1,4,25662.1992,25914.0996,42234,42273,19.0,-0.2,SHORT,0,0,42234:42273:SHORT:-20
1,0,29306.8008,29323.4004,1908,1963,19.0,-0.0,LONG,0,0,1908:1963:LONG:0
1,0,29323.4004,29295.8008,1963,1970,19.0,0.0,SHORT,0,0,1963:1970:SHORT:0
1,1,25787.0,25770.9004,11916,12052,19.0,-0.0,SHORT,0,0,11916:12052:SHORT:0
1,1,25886.6992,25770.9004,12009,12052,19.0,0.07,SHORT,0,0,12009:12052:SHORT:7
1,0,29295.8008,29344.6992,1970,2043,19.0,0.02,LONG,0,0,1970:2043:LONG:2
1,1,25770.9004,25853.9004,12052,12124,19.0,0.05,LONG,0,0,12052:12124:LONG:5
1,1,25773.1992,25853.9004,12053,12124,19.0,0.05,LONG,0,0,12053:12124:LONG:5
1,3,29285.4004,29178.0996,32167,32286,19.0,-0.08,LONG,0,0,32167:32286:LONG:-8
1,4,26047.8008,26395.9004,42324,42368,19.0,0.24,LONG,0,0,42324:42368:LONG:24
1,4,26395.9004,26336.5996,42368,42372,19.0,0.03,SHORT,0,0,42368:42372:SHORT:3
1,2,28007.0,27992.1992,22019,22220,19.0,-0.0,SHORT,0,0,22019:22220:SHORT:0
1,2,27924.0,27992.1992,22099,22220,19.0,-0.06,SHORT,0,0,22099:22220:SHORT:-6
1,1,25853.9004,25895.5,12124,12190,19.0,-0.04,SHORT,0,0,12124:12190:SHORT:-4
1,1,25827.0,25895.5,12126,12190,19.0,-0.06,SHORT,0,0,12126:12190:SHORT:-6
1,0,29344.6992,29301.1992,2043,2114,19.0,0.01,SHORT,0,0,2043:2114:SHORT:1
1,0,29318.5,29301.1992,2064,2114,19.0,-0.0,SHORT,0,0,2064:2114:SHORT:0
1,4,26336.5996,26219.9004,42372,42458,19.0,-0.1,LONG,0,0,42372:42458:LONG:-10
1,0,29301.1992,29306.4004,2114,2140,19.0,-0.01,LONG,0,0,2114:2140:LONG:-1
1,0,29294.8008,29306.4004,2115,2140,19.0,-0.01,LONG,0,0,2115:2140:LONG:-1
1,4,25914.0996,26182.334,42273,42469,19.0,0.18,LONG,0,0,42273:42469:LONG:18
1,2,27992.1992,27866.0,22220,22319,19.0,-0.1,LONG,0,0,22220:22319:LONG:-10
1,2,28070.1992,27866.0,22229,22319,19.0,-0.15,LONG,0,0,22229:22319:LONG:-15
1,0,29306.4004,29269.0996,2140,2169,19.0,0.01,SHORT,0,0,2140:2169:SHORT:1
1,0,29295.1992,29269.0996,2146,2169,19.0,0.0,SHORT,0,0,2146:2169:SHORT:0
1,0,29269.0996,29311.5,2169,2174,19.0,0.01,LONG,0,0,2169:2174:LONG:1
1,0,29262.6992,29311.5,2170,2174,19.0,0.02,LONG,0,0,2170:2174:LONG:2
1,1,25895.5,25934.5,12190,12269,19.0,0.01,LONG,0,0,12190:12269:LONG:1
1,1,25938.5,25934.5,12199,12269,19.0,-0.02,LONG,0,0,12199:12269:LONG:-2
1,3,29178.0996,29176.9004,32286,32431,19.0,-0.01,SHORT,0,0,32286:32431:SHORT:-1
1,1,25934.5,25932.5,12269,12275,19.0,-0.01,SHORT,0,0,12269:12275:SHORT:-1
1,1,26005.6992,25932.5,12271,12275,19.0,0.04,SHORT,0,0,12271:12275:SHORT:4
1,2,27866.0,27716.0,22319,22358,19.0,0.09,SHORT,0,0,22319:22358:SHORT:9
1,0,29311.5,29319.8008,2174,2216,19.0,-0.02,SHORT,0,0,2174:2216:SHORT:-2
1,0,29319.8008,29387.3008,2216,2218,19.0,0.03,LONG,0,0,2216:2218:LONG:3
1,0,29371.4004,29387.3008,2217,2218,19.0,-0.0,LONG,0,0,2217:2218:LONG:0
1,0,29387.3008,29343.4004,2218,2231,19.0,0.01,SHORT,0,0,2218:2231:SHORT:1
1,2,27716.0,27918.5996,22358,22447,19.0,0.13,LONG,0,0,22358:22447:LONG:13
1,2,27799.3008,27918.5996,22359,22447,19.0,0.07,LONG,0,0,22359:22447:LONG:7
1,1,25932.5,26069.9004,12275,12370,19.0,0.09,LONG,0,0,12275:12370:LONG:9
1,1,25862.4004,26069.9004,12276,12370,19.0,0.14,LONG,0,0,12276:12370:LONG:14
1,0,29343.4004,29260.1992,2231,2291,19.0,-0.07,LONG,0,0,2231:2291:LONG:-7
1,0,29173.8008,29260.1992,2278,2291,19.0,0.04,LONG,0,0,2278:2291:LONG:4
1,2,27918.5996,27894.6992,22447,22465,19.0,0.0,SHORT,0,0,22447:22465:SHORT:0
1,2,27930.9004,27894.6992,22453,22465,19.0,0.01,SHORT,0,0,22453:22465:SHORT:1
1,4,25791.6992,25884.5,42559,42708,19.0,-0.08,SHORT,0,0,42559:42708:SHORT:-8
