bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,88080.3984375,88048.0,88048.0,32.3984375,0.0,32.3984375
1,88146.7,88160.1,88081.7,88081.7,4816.0,88146.703125,88050.53125,88050.53125,96.171875,0.0,96.171875
2,88080.4,88080.4,87849.9,87850.0,10862.0,88139.65625,88174.6015625,88174.6015625,34.9453125,0.0,34.9453125
3,87857.1,87944.5,87780.2,87930.1,15390.0,88111.171875,88168.109375,88168.109375,56.9375,0.0,56.9375
4,87930.2,88039.6,87930.2,87991.6,4863.0,88083.828125,88152.59375,88152.59375,68.765625,0.0,68.765625
5,87980.8,87980.8,87852.6,87856.9,2161.0,88033.9609375,88137.6953125,88137.6953125,103.734375,0.0,103.734375
6,87862.5,87869.1,87773.9,87797.8,3002.0,87987.0859375,88123.3984375,88123.3984375,136.3125,0.0,136.3125
7,87794.2,87794.2,87660.4,87672.7,7045.0,87924.5703125,88102.4296875,88102.4296875,177.859375,0.0,177.859375
8,87672.6,87704.8,87569.3,87664.0,6992.0,87822.2421875,88067.0703125,88067.0703125,244.828125,0.0,244.828125
9,87657.2,87718.7,87621.5,87639.1,4116.0,87730.1484375,88017.296875,88017.296875,287.1484375,0.0,287.1484375
10,87649.7,87726.9,87580.2,87580.2,5538.0,87647.265625,87972.5,87972.5,325.234375,0.0,325.234375
11,87583.2,87604.9,87412.0,87430.1,7937.0,87539.3203125,87932.1796875,87932.1796875,392.859375,0.0,392.859375
12,87427.6,87504.4,87326.9,87504.4,28049.0,87444.328125,87869.7578125,87869.7578125,425.4296875,0.0,425.4296875
13,87505.9,87647.8,87477.7,87600.8,5425.0,87360.734375,87793.7578125,87793.7578125,433.0234375,0.0,433.0234375
14,87596.5,87649.2,87531.3,87564.6,5409.0,87287.171875,87728.3984375,87728.3984375,441.2265625,0.0,441.2265625
15,87564.6,87669.2,87529.0,87648.0,5356.0,86747.703125,87672.1875,87672.1875,924.484375,0.0,924.484375
