bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,0.0,0.0,0.0,0.0
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,0.0,0.0,0.0,0.0,0.0
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,0.0,0.0,0.0,0.0,0.0
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,0.0,0.0,0.0,0.0,0.0
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,0.0,0.0,0.0,0.0,0.0
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,0.0,0.0,0.0,0.0,0.0
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,0.0,0.0,0.0,0.0,0.0
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,0.0,0.0,0.0,0.0,0.0
9,87657.2,87718.7,87621.5,87639.1,4116.0,87348.546875,87863.90625,87863.8984375,515.359375,0.0078125,515.3515625
10,87649.7,87726.9,87580.2,87580.2,5538.0,87229.0859375,87806.4140625,87806.4140625,577.328125,0.0,577.328125
11,87583.2,87604.9,87412.0,87430.1,7937.0,87139.0,87741.2578125,87741.25,602.2578125,0.0078125,602.25
12,87427.6,87504.4,87326.9,87504.4,28049.0,87077.421875,87706.6953125,87706.6875,629.2734375,0.0078125,629.265625
13,87505.9,87647.8,87477.7,87600.8,5425.0,87004.2109375,87673.765625,87673.765625,669.5546875,0.0,669.5546875
14,87596.5,87649.2,87531.3,87564.6,5409.0,86977.0234375,87631.0625,87631.0625,654.0390625,0.0,654.0390625
15,87564.6,87669.2,87529.0,87648.0,5356.0,86984.625,87610.171875,87610.171875,625.546875,0.0,625.546875
16,87649.4,87731.5,87631.9,87721.9,8400.0,86985.2421875,87602.5859375,87602.578125,617.34375,0.0078125,617.3359375
17,87708.6,87759.6,87682.4,87759.6,6562.0,87025.921875,87611.2734375,87611.2734375,585.3515625,0.0,585.3515625
18,87750.7,87750.7,87519.8,87519.8,4150.0,87033.1796875,87596.8515625,87596.859375,563.671875,0.0078125,563.6796875
19,87502.6,87590.1,87498.4,87562.6,3954.0,87070.09375,87589.203125,87589.203125,519.109375,0.0,519.109375
20,87566.9,87578.4,87328.7,87343.5,11941.0,87145.6328125,87565.53125,87565.5390625,419.8984375,0.0078125,419.90625
21,87343.4,87344.0,87227.3,87256.3,12379.0,87202.765625,87548.1484375,87548.15625,345.3828125,0.0078125,345.390625
22,87252.7,87420.8,87252.7,87392.1,3767.0,87257.8671875,87536.9296875,87536.921875,279.0625,0.0078125,279.0546875
23,87392.1,87404.4,87287.0,87371.4,6300.0,87282.796875,87513.984375,87513.984375,231.1875,0.0,231.1875
24,87372.5,87475.6,87339.6,87471.7,3668.0,87297.4765625,87504.6953125,87504.6875,207.21875,0.0078125,207.2109375
25,87471.1,87484.4,87403.9,87439.2,2831.0,87295.2421875,87483.8125,87483.8046875,188.5703125,0.0078125,188.5625
26,87436.2,87436.2,87315.9,87370.4,3545.0,87297.8125,87448.671875,87448.65625,150.859375,0.015625,150.84375
27,87363.6,87377.7,87303.3,87303.3,4063.0,87279.9765625,87403.0390625,87403.0234375,123.0625,0.015625,123.046875
28,87303.2,87318.1,87204.0,87204.0,3420.0,87293.8359375,87371.453125,87371.4453125,77.6171875,0.0078125,77.609375
29,87200.9,87280.4,87200.9,87257.5,3839.0,87281.1328125,87340.9375,87340.9375,59.8046875,0.0,59.8046875
30,87263.5,87278.8,87211.2,87226.8,13526.0,87250.5234375,87329.2734375,87329.265625,78.75,0.0078125,78.7421875
31,87226.1,87258.0,87206.6,87206.6,2066.0,87216.7109375,87324.3046875,87324.296875,107.59375,0.0078125,107.5859375
32,87205.6,87205.6,87154.6,87173.2,5683.0,87195.2109375,87302.40625,87302.4140625,107.1953125,0.0078125,107.203125
33,87173.3,87298.7,87173.3,87286.8,7188.0,87195.1015625,87293.9453125,87293.953125,98.84375,0.0078125,98.8515625
34,87283.7,87286.9,87182.4,87186.8,7126.0,87176.5,87265.4609375,87265.4609375,88.9609375,0.0,88.9609375
35,87183.8,87183.8,87080.0,87080.0,7382.0,87152.140625,87229.5390625,87229.546875,77.3984375,0.0078125,77.40625
36,87080.0,87113.9,86878.6,86895.9,34739.0,87120.953125,87182.0859375,87182.0859375,61.1328125,0.0,61.1328125
37,86901.3,86939.1,86776.4,86781.0,17855.0,87102.15625,87129.8671875,87129.859375,27.7109375,0.0078125,27.703125
38,86790.1,86895.4,86767.0,86877.6,13092.0,87029.5234375,87097.2265625,87097.2265625,67.703125,0.0,67.703125
39,86877.7,86894.4,86752.5,86799.2,5481.0,86943.9453125,87051.3984375,87051.390625,107.453125,0.0078125,107.4453125
40,86806.7,86985.6,86797.5,86985.6,5524.0,86893.796875,87027.2734375,87027.2734375,133.4765625,0.0,133.4765625
41,86985.6,87091.2,86985.6,87037.7,6819.0,86850.4296875,87010.3828125,87010.3828125,159.953125,0.0,159.953125
42,87042.2,87085.2,87006.2,87022.0,9574.0,86765.5390625,86995.265625,86995.265625,229.7265625,0.0,229.7265625
43,87016.0,87059.1,86992.0,87055.7,4562.0,86679.2578125,86972.1484375,86972.1484375,292.890625,0.0,292.890625
44,87037.1,87118.4,87034.5,87034.5,4385.0,86615.0078125,86956.921875,86956.921875,341.9140625,0.0,341.9140625
45,87034.0,87079.4,86918.0,86918.1,5614.0,86519.0546875,86940.734375,86940.734375,421.6796875,0.0,421.6796875
46,86922.3,86999.7,86852.1,86965.0,3934.0,86400.1171875,86947.6484375,86947.640625,547.53125,0.0078125,547.5234375
47,86973.7,87026.1,86973.7,87022.1,3649.0,86274.453125,86971.75,86971.7578125,697.296875,0.0078125,697.3046875
48,87024.4,87024.4,86888.0,86937.6,4724.0,86186.9765625,86977.75,86977.7578125,790.7734375,0.0078125,790.78125
