bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,-680182.125,3968.31591796875,3968.315673828125,684150.4409179688,0.000244140625,684150.4406738281
1,88146.7,88160.1,88081.7,88081.7,4816.0,-1079984.0,-847.6837768554688,-847.684326171875,1079136.3162231445,0.00054931640625,1079136.3156738281
2,88080.4,88080.4,87849.9,87850.0,10862.0,-1079425.5,-11700.1123046875,-11700.1123046875,1067725.3876953125,0.0,1067725.3876953125
3,87857.1,87944.5,87780.2,87930.1,15390.0,-1079425.5,992.4298095703125,992.4296875,1080417.9298095703,0.0001220703125,1080417.9296875
4,87930.2,88039.6,87930.2,87991.6,4863.0,-898215.4375,1588.0196533203125,1588.01953125,899803.4571533203,0.0001220703125,899803.45703125
5,87980.8,87980.8,87852.6,87856.9,2161.0,-1130504.0,-428.1147155761719,-428.1148681640625,1130075.8852844238,0.000152587890625,1130075.885131836
6,87862.5,87869.1,87773.9,87797.8,3002.0,-1492877.75,-1922.9559326171875,-1922.9561767578125,1490954.7940673828,0.000244140625,1490954.7938232422
7,87794.2,87794.2,87660.4,87672.7,7045.0,-1687872.125,-7672.23828125,-7672.23876953125,1680199.88671875,0.00048828125,1680199.8862304688
8,87672.6,87704.8,87569.3,87664.0,6992.0,-1687872.125,-4890.59619140625,-4890.5966796875,1682981.5288085938,0.00048828125,1682981.5283203125
9,87657.2,87718.7,87621.5,87639.1,4116.0,-1687872.125,-7515.94384765625,-7515.9443359375,1680356.1811523438,0.00048828125,1680356.1806640625
10,87649.7,87726.9,87580.2,87580.2,5538.0,-2007754.875,-13053.943359375,-13053.9443359375,1994700.931640625,0.0009765625,1994700.9306640625
11,87583.2,87604.9,87412.0,87430.1,7937.0,-2166389.0,-19501.330078125,-19501.330078125,2146887.669921875,0.0,2146887.669921875
12,87427.6,87504.4,87326.9,87504.4,28049.0,-2166389.0,8547.669921875,8547.669921875,2174936.669921875,0.0,2174936.669921875
13,87505.9,87647.8,87477.7,87600.8,5425.0,-2016482.875,10974.6171875,10974.6171875,2027457.4921875,0.0,2027457.4921875
14,87596.5,87649.2,87531.3,87564.6,5409.0,-2016482.875,8621.3515625,8621.3505859375,2025104.2265625,0.0009765625,2025104.2255859375
15,87564.6,87669.2,87529.0,87648.0,5356.0,221555.796875,12357.3603515625,12357.359375,209198.4365234375,0.0009765625,209198.4375
16,87649.4,87731.5,87631.9,87721.9,8400.0,233022.9375,19137.845703125,19137.84375,213885.091796875,0.001953125,213885.09375
17,87708.6,87759.6,87682.4,87759.6,6562.0,-977136.5,25699.845703125,25699.84375,1002836.345703125,0.001953125,1002836.34375
18,87750.7,87750.7,87519.8,87519.8,4150.0,-977136.5,21549.845703125,21549.84375,998686.345703125,0.001953125,998686.34375
19,87502.6,87590.1,87498.4,87562.6,3954.0,-977136.5,23132.388671875,23132.38671875,1000268.888671875,0.001953125,1000268.88671875
20,87566.9,87578.4,87328.7,87343.5,11941.0,-977136.5,12606.6298828125,12606.626953125,989743.1298828125,0.0029296875,989743.126953125
