bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,0.0,0.0,0.0,0.0
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,0.0,-158.3046875,0.0,158.3046875,158.3046875
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,0.0,311.8046875,0.0,311.8046875,311.8046875
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,0.0,-18.6015625,0.0,18.6015625,18.6015625
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,0.0,-196.203125,0.0,196.203125,196.203125
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,0.0,75.6015625,0.0,75.6015625,75.6015625
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,0.0,-65.9921875,0.0,65.9921875,65.9921875
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,0.0,116.390625,0.0,116.390625,116.390625
9,87657.2,87718.7,87621.5,87639.1,4116.0,0.0,0.0,-16.1953125,0.0,16.1953125,16.1953125
10,87649.7,87726.9,87580.2,87580.2,5538.0,0.0,0.0,-34.0,0.0,34.0,34.0
11,87583.2,87604.9,87412.0,87430.1,7937.0,293.6015625,-76.703125,-91.203125,370.3046875,14.5,384.8046875
12,87427.6,87504.4,87326.9,87504.4,28049.0,285.1015625,306.0,224.3984375,20.8984375,81.6015625,60.703125
13,87505.9,87647.8,87477.7,87600.8,5425.0,-116.3046875,16.296875,22.1015625,132.6015625,5.8046875,138.40625
14,87596.5,87649.2,87531.3,87564.6,5409.0,460.203125,-97.6953125,-132.59375,557.8984375,34.8984375,592.796875
15,87564.6,87669.2,87529.0,87648.0,5356.0,347.8984375,218.1015625,119.59375,129.796875,98.5078125,228.3046875
16,87649.4,87731.5,87631.9,87721.9,8400.0,-69.796875,133.0,-9.5,202.796875,142.5,60.296875
17,87708.6,87759.6,87682.4,87759.6,6562.0,400.59375,162.796875,-36.1953125,237.796875,198.9921875,436.7890625
18,87750.7,87750.7,87519.8,87519.8,4150.0,-334.1953125,-231.1015625,-277.5078125,103.09375,46.40625,56.6875
19,87502.6,87590.1,87498.4,87562.6,3954.0,296.5,67.703125,282.609375,228.796875,214.90625,13.890625
20,87566.9,87578.4,87328.7,87343.5,11941.0,386.296875,-160.203125,-261.90625,546.5,101.703125,648.203125
21,87343.4,87344.0,87227.3,87256.3,12379.0,-184.1015625,62.8984375,131.8984375,247.0,69.0,316.0
22,87252.7,87420.8,87252.7,87392.1,3767.0,-20.296875,61.5078125,223.0078125,81.8046875,161.5,243.3046875
23,87392.1,87404.4,87287.0,87371.4,6300.0,-301.6015625,-117.1015625,-156.5078125,184.5,39.40625,145.09375
24,87372.5,87475.6,87339.6,87471.7,3668.0,-102.6015625,136.5,121.0078125,239.1015625,15.4921875,223.609375
25,87471.1,87484.4,87403.9,87439.2,2831.0,-169.203125,-115.8984375,-132.8046875,53.3046875,16.90625,36.3984375
26,87436.2,87436.2,87315.9,87370.4,3545.0,48.109375,-142.703125,-36.3046875,190.8125,106.3984375,84.4140625
27,87363.6,87377.7,87303.3,87303.3,4063.0,-204.1015625,-104.8046875,1.703125,99.296875,106.5078125,205.8046875
28,87303.2,87318.1,87204.0,87204.0,3420.0,317.0,140.5078125,-32.1953125,176.4921875,172.703125,349.1953125
29,87200.9,87280.4,87200.9,87257.5,3839.0,-265.6015625,10.6953125,152.796875,276.296875,142.1015625,418.3984375
30,87263.5,87278.8,87211.2,87226.8,13526.0,-179.1015625,188.3984375,-84.203125,367.5,272.6015625,94.8984375
31,87226.1,87258.0,87206.6,87206.6,2066.0,-32.0,67.0078125,10.5078125,99.0078125,56.5,42.5078125
32,87205.6,87205.6,87154.6,87173.2,5683.0,123.1015625,-169.203125,-13.203125,292.3046875,156.0,136.3046875
33,87173.3,87298.7,87173.3,87286.8,7188.0,213.8984375,134.296875,146.9921875,79.6015625,12.6953125,66.90625
34,87283.7,87286.9,87182.4,87186.8,7126.0,-184.8984375,-200.3046875,-213.59375,15.40625,13.2890625,28.6953125
35,87183.8,87183.8,87080.0,87080.0,7382.0,-57.59375,-74.296875,-6.796875,16.703125,67.5,50.796875
36,87080.0,87113.9,86878.6,86895.9,34739.0,-68.3125,-115.296875,-77.3046875,46.984375,37.9921875,8.9921875
37,86901.3,86939.1,86776.4,86781.0,17855.0,124.0078125,-47.796875,69.203125,171.8046875,117.0,54.8046875
38,86790.1,86895.4,86767.0,86877.6,13092.0,-538.5078125,195.8984375,211.5,734.40625,15.6015625,750.0078125
39,86877.7,86894.4,86752.5,86799.2,5481.0,-129.296875,-131.8984375,-175.0,2.6015625,43.1015625,45.703125
40,86806.7,86985.6,86797.5,86985.6,5524.0,354.203125,217.1015625,264.796875,137.1015625,47.6953125,89.40625
41,86985.6,87091.2,86985.6,87037.7,6819.0,67.8046875,72.296875,-134.296875,4.4921875,206.59375,202.1015625
42,87042.2,87085.2,87006.2,87022.0,9574.0,-415.203125,17.6953125,-67.8046875,432.8984375,85.5,347.3984375
43,87016.0,87059.1,86992.0,87055.7,4562.0,-14.0,-79.890625,49.40625,65.890625,129.296875,63.40625
44,87037.1,87118.4,87034.5,87034.5,4385.0,220.3984375,78.796875,-54.90625,141.6015625,133.703125,275.3046875
45,87034.0,87079.4,86918.0,86918.1,5614.0,-317.0,-9.6015625,-95.1953125,307.3984375,85.59375,221.8046875
46,86922.3,86999.7,86852.1,86965.0,3934.0,-229.8984375,231.0,163.296875,460.8984375,67.703125,393.1953125
47,86973.7,87026.1,86973.7,87022.1,3649.0,-67.203125,172.0,10.203125,239.203125,161.796875,77.40625
48,87024.4,87024.4,86888.0,86937.6,4724.0,381.90625,-181.1015625,-141.6015625,563.0078125,39.5,523.5078125
49,86937.7,86946.2,86784.8,86834.6,8186.0,401.6953125,-24.6015625,-18.5,426.296875,6.1015625,420.1953125
