bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,87857.1015625,88155.1015625,88155.1015625,298.0,0.0,298.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,88028.0625,88125.8984375,88125.8984375,97.8359375,0.0,97.8359375
2,88080.4,88080.4,87849.9,87850.0,10862.0,87776.4375,88107.8359375,88107.8359375,331.3984375,0.0,331.3984375
3,87857.1,87944.5,87780.2,87930.1,15390.0,87505.578125,87926.7734375,87926.765625,421.1953125,0.0078125,421.1875
4,87930.2,88039.6,87930.2,87991.6,4863.0,87702.8984375,87884.9375,87884.9375,182.0390625,0.0,182.0390625
5,87980.8,87980.8,87852.6,87856.9,2161.0,87329.3984375,87987.140625,87987.1328125,657.7421875,0.0078125,657.734375
6,87862.5,87869.1,87773.9,87797.8,3002.0,87367.671875,87896.7734375,87896.765625,529.1015625,0.0078125,529.09375
7,87794.2,87794.2,87660.4,87672.7,7045.0,87201.671875,87813.609375,87813.6015625,611.9375,0.0078125,611.9296875
8,87672.6,87704.8,87569.3,87664.0,6992.0,86923.8046875,87709.109375,87709.1015625,785.3046875,0.0078125,785.296875
9,87657.2,87718.7,87621.5,87639.1,4116.0,87014.609375,87646.03125,87646.03125,631.421875,0.0,631.421875
10,87649.7,87726.9,87580.2,87580.2,5538.0,86973.46875,87659.7734375,87659.765625,686.3046875,0.0078125,686.296875
11,87583.2,87604.9,87412.0,87430.1,7937.0,86740.4375,87629.109375,87629.1015625,888.671875,0.0078125,888.6640625
12,87427.6,87504.4,87326.9,87504.4,28049.0,86800.90625,87482.3359375,87482.3359375,681.4296875,0.0,681.4296875
13,87505.9,87647.8,87477.7,87600.8,5425.0,86786.4375,87445.234375,87445.234375,658.796875,0.0,658.796875
14,87596.5,87649.2,87531.3,87564.6,5409.0,86994.4296875,87575.4375,87575.4296875,581.0078125,0.0078125,581.0
15,87564.6,87669.2,87529.0,87648.0,5356.0,87132.8359375,87581.703125,87581.703125,448.8671875,0.0,448.8671875
16,87649.4,87731.5,87631.9,87721.9,8400.0,87301.5078125,87615.3984375,87615.3984375,313.890625,0.0,313.890625
17,87708.6,87759.6,87682.4,87759.6,6562.0,87171.671875,87695.109375,87695.1015625,523.4375,0.0078125,523.4296875
