bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,88028.0625,88125.8984375,88125.8984375,97.8359375,0.0,97.8359375
1,88146.7,88160.1,88081.7,88081.7,4816.0,87902.4453125,88117.6484375,88117.65625,215.203125,0.0078125,215.2109375
2,88080.4,88080.4,87849.9,87850.0,10862.0,87770.3515625,88020.828125,88020.8203125,250.4765625,0.0078125,250.46875
3,87857.1,87944.5,87780.2,87930.1,15390.0,87753.5234375,87964.0,87964.0,210.4765625,0.0,210.4765625
4,87930.2,88039.6,87930.2,87991.6,4863.0,87668.9296875,87966.703125,87966.703125,297.7734375,0.0,297.7734375
5,87980.8,87980.8,87852.6,87856.9,2161.0,87618.921875,87963.25,87963.25,344.328125,0.0,344.328125
6,87862.5,87869.1,87773.9,87797.8,3002.0,87559.46875,87953.6640625,87953.65625,394.1953125,0.0078125,394.1875
7,87794.2,87794.2,87660.4,87672.7,7045.0,87480.5078125,87921.6875,87921.6796875,441.1796875,0.0078125,441.171875
8,87672.6,87704.8,87569.3,87664.0,6992.0,87428.9453125,87890.015625,87890.015625,461.0703125,0.0,461.0703125
9,87657.2,87718.7,87621.5,87639.1,4116.0,87383.609375,87875.4375,87875.4296875,491.828125,0.0078125,491.8203125
10,87649.7,87726.9,87580.2,87580.2,5538.0,87325.515625,87856.0859375,87856.0859375,530.5703125,0.0,530.5703125
11,87583.2,87604.9,87412.0,87430.1,7937.0,87282.125,87818.2734375,87818.2734375,536.1484375,0.0,536.1484375
12,87427.6,87504.4,87326.9,87504.4,28049.0,87244.1328125,87720.03125,87720.03125,475.8984375,0.0,475.8984375
13,87505.9,87647.8,87477.7,87600.8,5425.0,87226.3359375,87713.03125,87713.0234375,486.6953125,0.0078125,486.6875
14,87596.5,87649.2,87531.3,87564.6,5409.0,87220.1015625,87706.96875,87706.96875,486.8671875,0.0,486.8671875
15,87564.6,87669.2,87529.0,87648.0,5356.0,87225.203125,87702.9765625,87702.96875,477.7734375,0.0078125,477.765625
16,87649.4,87731.5,87631.9,87721.9,8400.0,87222.0546875,87702.46875,87702.46875,480.4140625,0.0,480.4140625
17,87708.6,87759.6,87682.4,87759.6,6562.0,87222.9765625,87703.9609375,87703.9609375,480.984375,0.0,480.984375
18,87750.7,87750.7,87519.8,87519.8,4150.0,87221.3671875,87700.8203125,87700.828125,479.453125,0.0078125,479.4609375
19,87502.6,87590.1,87498.4,87562.6,3954.0,87225.21875,87696.75,87696.7421875,471.53125,0.0078125,471.5234375
20,87566.9,87578.4,87328.7,87343.5,11941.0,87234.0390625,87675.5546875,87675.5546875,441.515625,0.0,441.515625
21,87343.4,87344.0,87227.3,87256.3,12379.0,87237.734375,87646.46875,87646.4609375,408.734375,0.0078125,408.7265625
22,87252.7,87420.8,87252.7,87392.1,3767.0,87244.7890625,87640.15625,87640.15625,395.3671875,0.0,395.3671875
23,87392.1,87404.4,87287.0,87371.4,6300.0,87248.5234375,87630.15625,87630.15625,381.6328125,0.0,381.6328125
24,87372.5,87475.6,87339.6,87471.7,3668.0,87251.1171875,87626.140625,87626.140625,375.0234375,0.0,375.0234375
25,87471.1,87484.4,87403.9,87439.2,2831.0,87256.8046875,87623.359375,87623.3515625,366.5546875,0.0078125,366.546875
26,87436.2,87436.2,87315.9,87370.4,3545.0,87255.8515625,87618.71875,87618.7109375,362.8671875,0.0078125,362.859375
27,87363.6,87377.7,87303.3,87303.3,4063.0,87251.515625,87612.6328125,87612.6328125,361.1171875,0.0,361.1171875
28,87303.2,87318.1,87204.0,87204.0,3420.0,87245.046875,87606.2265625,87606.21875,361.1796875,0.0078125,361.171875
29,87200.9,87280.4,87200.9,87257.5,3839.0,87245.96875,87599.3671875,87599.359375,353.3984375,0.0078125,353.390625
30,87263.5,87278.8,87211.2,87226.8,13526.0,87244.8671875,87576.6953125,87576.6953125,331.828125,0.0,331.828125
31,87226.1,87258.0,87206.6,87206.6,2066.0,87236.96875,87573.3359375,87573.3359375,336.3671875,0.0,336.3671875
32,87205.6,87205.6,87154.6,87173.2,5683.0,87234.453125,87563.25,87563.2421875,328.796875,0.0078125,328.7890625
33,87173.3,87298.7,87173.3,87286.8,7188.0,87235.484375,87553.5390625,87553.546875,318.0546875,0.0078125,318.0625
34,87283.7,87286.9,87182.4,87186.8,7126.0,87233.6953125,87543.4765625,87543.484375,309.78125,0.0078125,309.7890625
35,87183.8,87183.8,87080.0,87080.0,7382.0,87229.28125,87530.53125,87530.53125,301.25,0.0,301.25
36,87080.0,87113.9,86878.6,86895.9,34739.0,87222.4765625,87459.8984375,87459.8984375,237.421875,0.0,237.421875
37,86901.3,86939.1,86776.4,86781.0,17855.0,87210.1796875,87422.1796875,87422.171875,212.0,0.0078125,211.9921875
38,86790.1,86895.4,86767.0,86877.6,13092.0,87195.234375,87397.890625,87397.8828125,202.65625,0.0078125,202.6484375
39,86877.7,86894.4,86752.5,86799.2,5481.0,87177.828125,87387.765625,87387.765625,209.9375,0.0,209.9375
40,86806.7,86985.6,86797.5,86985.6,5524.0,87164.4296875,87379.7734375,87379.7734375,215.34375,0.0,215.34375
41,86985.6,87091.2,86985.6,87037.7,6819.0,87152.5625,87372.6640625,87372.6640625,220.1015625,0.0,220.1015625
42,87042.2,87085.2,87006.2,87022.0,9574.0,87136.0234375,87363.1640625,87363.171875,227.140625,0.0078125,227.1484375
43,87016.0,87059.1,86992.0,87055.7,4562.0,87121.984375,87358.8046875,87358.8046875,236.8203125,0.0,236.8203125
44,87037.1,87118.4,87034.5,87034.5,4385.0,87107.15625,87355.0546875,87355.0546875,247.8984375,0.0,247.8984375
45,87034.0,87079.4,86918.0,86918.1,5614.0,87085.8125,87348.9453125,87348.9453125,263.1328125,0.0,263.1328125
46,86922.3,86999.7,86852.1,86965.0,3934.0,87062.3984375,87344.4140625,87344.4140625,282.015625,0.0,282.015625
47,86973.7,87026.1,86973.7,87022.1,3649.0,87033.140625,87340.9921875,87340.9921875,307.8515625,0.0,307.8515625
48,87024.4,87024.4,86888.0,86937.6,4724.0,87005.234375,87335.921875,87335.921875,330.6875,0.0,330.6875
49,86937.7,86946.2,86784.8,86834.6,8186.0,86984.5078125,87325.359375,87325.3671875,340.8515625,0.0078125,340.859375
50,86834.1,86875.0,86816.4,86816.4,3229.0,86963.7109375,87321.15625,87321.15625,357.4453125,0.0,357.4453125
51,86811.0,86811.0,86736.8,86747.7,8672.0,86940.453125,87308.6171875,87308.6171875,368.1640625,0.0,368.1640625
52,86747.7,86754.9,86632.4,86663.7,10621.0,86917.6015625,87291.8203125,87291.8203125,374.21875,0.0,374.21875
53,86662.6,86733.1,86656.0,86711.6,5251.0,86891.6328125,87284.0546875,87284.0625,392.421875,0.0078125,392.4296875
54,86713.4,86797.0,86694.8,86776.0,8816.0,86871.2421875,87272.6875,87272.6875,401.4453125,0.0,401.4453125
55,86771.9,86843.4,86754.9,86843.1,8289.0,86852.1484375,87263.5859375,87263.578125,411.4375,0.0078125,411.4296875
56,86839.4,86843.2,86788.6,86793.6,4040.0,86837.9609375,87259.21875,87259.2109375,421.2578125,0.0078125,421.25
57,86791.6,86810.2,86771.6,86771.6,1637.0,86824.3046875,87257.3828125,87257.375,433.078125,0.0078125,433.0703125
58,86771.7,86775.9,86561.1,86561.5,18764.0,86810.1875,87230.875,87230.859375,420.6875,0.015625,420.671875
59,86561.1,86653.2,86547.3,86632.5,11099.0,86796.515625,87215.6796875,87215.671875,419.1640625,0.0078125,419.15625
