bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,0.0,0.0,0.0,0.0
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,0.0,0.0,0.0,0.0,0.0
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,0.0,0.0,0.0,0.0,0.0
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,0.0,0.0,0.0,0.0,0.0
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,0.0,0.0,0.0,0.0,0.0
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,0.0,0.0,0.0,0.0,0.0
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,0.0,0.0,0.0,0.0,0.0
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,0.0,0.0,0.0,0.0,0.0
9,87657.2,87718.7,87621.5,87639.1,4116.0,0.0,0.0,0.0,0.0,0.0,0.0
10,87649.7,87726.9,87580.2,87580.2,5538.0,-1194.5,-574.8984375,-574.8984375,619.6015625,0.0,619.6015625
11,87583.2,87604.9,87412.0,87430.1,7937.0,-900.8984375,-651.6015625,-651.6015625,249.296875,0.0,249.296875
12,87427.6,87504.4,87326.9,87504.4,28049.0,-615.796875,-345.6015625,-345.6015625,270.1953125,0.0,270.1953125
13,87505.9,87647.8,87477.7,87600.8,5425.0,-732.1015625,-329.3046875,-329.3046875,402.796875,0.0,402.796875
14,87596.5,87649.2,87531.3,87564.6,5409.0,-271.8984375,-427.0,-427.0,155.1015625,0.0,155.1015625
15,87564.6,87669.2,87529.0,87648.0,5356.0,76.0,-208.8984375,-208.8984375,284.8984375,0.0,284.8984375
16,87649.4,87731.5,87631.9,87721.9,8400.0,6.203125,-75.8984375,-75.8984375,82.1015625,0.0,82.1015625
17,87708.6,87759.6,87682.4,87759.6,6562.0,406.796875,86.8984375,86.8984375,319.8984375,0.0,319.8984375
18,87750.7,87750.7,87519.8,87519.8,4150.0,72.6015625,-144.203125,-144.203125,216.8046875,0.0,216.8046875
19,87502.6,87590.1,87498.4,87562.6,3954.0,369.1015625,-76.5,-76.5,445.6015625,0.0,445.6015625
20,87566.9,87578.4,87328.7,87343.5,11941.0,755.3984375,-236.703125,-236.703125,992.1015625,0.0,992.1015625
21,87343.4,87344.0,87227.3,87256.3,12379.0,571.296875,-173.8046875,-173.8046875,745.1015625,0.0,745.1015625
22,87252.7,87420.8,87252.7,87392.1,3767.0,551.0,-112.296875,-112.296875,663.296875,0.0,663.296875
23,87392.1,87404.4,87287.0,87371.4,6300.0,249.3984375,-229.3984375,-229.3984375,478.796875,0.0,478.796875
24,87372.5,87475.6,87339.6,87471.7,3668.0,146.796875,-92.8984375,-92.8984375,239.6953125,0.0,239.6953125
25,87471.1,87484.4,87403.9,87439.2,2831.0,-22.40625,-208.796875,-208.796875,186.390625,0.0,186.390625
26,87436.2,87436.2,87315.9,87370.4,3545.0,25.703125,-351.5,-351.5,377.203125,0.0,377.203125
27,87363.6,87377.7,87303.3,87303.3,4063.0,-178.3984375,-456.3046875,-456.3046875,277.90625,0.0,277.90625
28,87303.2,87318.1,87204.0,87204.0,3420.0,138.6015625,-315.796875,-315.796875,454.3984375,0.0,454.3984375
29,87200.9,87280.4,87200.9,87257.5,3839.0,-127.0,-305.1015625,-305.1015625,178.1015625,0.0,178.1015625
30,87263.5,87278.8,87211.2,87226.8,13526.0,-306.1015625,-116.703125,-116.703125,189.3984375,0.0,189.3984375
31,87226.1,87258.0,87206.6,87206.6,2066.0,-338.1015625,-49.6953125,-49.6953125,288.40625,0.0,288.40625
32,87205.6,87205.6,87154.6,87173.2,5683.0,-215.0,-218.8984375,-218.8984375,3.8984375,0.0,3.8984375
33,87173.3,87298.7,87173.3,87286.8,7188.0,-1.1015625,-84.6015625,-84.6015625,83.5,0.0,83.5
34,87283.7,87286.9,87182.4,87186.8,7126.0,-186.0,-284.90625,-284.90625,98.90625,0.0,98.90625
35,87183.8,87183.8,87080.0,87080.0,7382.0,-243.59375,-359.203125,-359.203125,115.609375,0.0,115.609375
36,87080.0,87113.9,86878.6,86895.9,34739.0,-311.90625,-474.5,-474.5,162.59375,0.0,162.59375
37,86901.3,86939.1,86776.4,86781.0,17855.0,-187.8984375,-522.296875,-522.296875,334.3984375,0.0,334.3984375
38,86790.1,86895.4,86767.0,86877.6,13092.0,-726.40625,-326.3984375,-326.3984375,400.0078125,0.0,400.0078125
39,86877.7,86894.4,86752.5,86799.2,5481.0,-855.703125,-458.296875,-458.296875,397.40625,0.0,397.40625
40,86806.7,86985.6,86797.5,86985.6,5524.0,-501.5,-241.1953125,-241.1953125,260.3046875,0.0,260.3046875
41,86985.6,87091.2,86985.6,87037.7,6819.0,-433.6953125,-168.8984375,-168.8984375,264.796875,0.0,264.796875
42,87042.2,87085.2,87006.2,87022.0,9574.0,-848.8984375,-151.203125,-151.203125,697.6953125,0.0,697.6953125
43,87016.0,87059.1,86992.0,87055.7,4562.0,-862.8984375,-231.09375,-231.09375,631.8046875,0.0,631.8046875
44,87037.1,87118.4,87034.5,87034.5,4385.0,-642.5,-152.296875,-152.296875,490.203125,0.0,490.203125
45,87034.0,87079.4,86918.0,86918.1,5614.0,-959.5,-161.8984375,-161.8984375,797.6015625,0.0,797.6015625
46,86922.3,86999.7,86852.1,86965.0,3934.0,-1189.3984375,69.1015625,69.1015625,1258.5,0.0,1258.5
47,86973.7,87026.1,86973.7,87022.1,3649.0,-1256.6015625,241.1015625,241.1015625,1497.703125,0.0,1497.703125
48,87024.4,87024.4,86888.0,86937.6,4724.0,-874.6953125,60.0,60.0,934.6953125,0.0,934.6953125
49,86937.7,86946.2,86784.8,86834.6,8186.0,-473.0,35.3984375,35.3984375,508.3984375,0.0,508.3984375
50,86834.1,86875.0,86816.4,86816.4,3229.0,-698.3984375,-169.203125,-169.203125,529.1953125,0.0,529.1953125
