bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,0.0,0.0,0.0,0.0
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,0.0,0.0,0.0,0.0,0.0
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,0.0,0.0,0.0,0.0,0.0
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,0.0,0.0,0.0,0.0,0.0
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,0.0,0.0,0.0,0.0,0.0
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,0.0,0.0,0.0,0.0,0.0
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,0.0,0.0,0.0,0.0,0.0
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,0.0,0.0,0.0,0.0,0.0
9,87657.2,87718.7,87621.5,87639.1,4116.0,0.0,0.0,0.0,0.0,0.0,0.0
10,87649.7,87726.9,87580.2,87580.2,5538.0,0.0,0.0,0.0,0.0,0.0,0.0
11,87583.2,87604.9,87412.0,87430.1,7937.0,0.0,0.0,0.0,0.0,0.0,0.0
12,87427.6,87504.4,87326.9,87504.4,28049.0,0.0,0.0,0.0,0.0,0.0,0.0
13,87505.9,87647.8,87477.7,87600.8,5425.0,0.0,0.0,0.0,0.0,0.0,0.0
14,87596.5,87649.2,87531.3,87564.6,5409.0,0.0,0.0,0.0,0.0,0.0,0.0
15,87564.6,87669.2,87529.0,87648.0,5356.0,0.0,0.0,0.0,0.0,0.0,0.0
16,87649.4,87731.5,87631.9,87721.9,8400.0,0.0,0.0,0.0,0.0,0.0,0.0
17,87708.6,87759.6,87682.4,87759.6,6562.0,0.0,0.0,0.0,0.0,0.0,0.0
18,87750.7,87750.7,87519.8,87519.8,4150.0,0.0,0.0,0.0,0.0,0.0,0.0
19,87502.6,87590.1,87498.4,87562.6,3954.0,87209.3203125,87726.5546875,87726.546875,517.234375,0.0078125,517.2265625
20,87566.9,87578.4,87328.7,87343.5,11941.0,87229.1953125,87690.0703125,87690.0625,460.875,0.0078125,460.8671875
21,87343.4,87344.0,87227.3,87256.3,12379.0,87240.03125,87648.7578125,87648.75,408.7265625,0.0078125,408.71875
22,87252.7,87420.8,87252.7,87392.1,3767.0,87259.1796875,87624.3125,87624.3046875,365.1328125,0.0078125,365.125
23,87392.1,87404.4,87287.0,87371.4,6300.0,87260.0234375,87600.2265625,87600.21875,340.203125,0.0078125,340.1953125
24,87372.5,87475.6,87339.6,87471.7,3668.0,87260.6875,87587.984375,87587.9765625,327.296875,0.0078125,327.2890625
25,87471.1,87484.4,87403.9,87439.2,2831.0,87269.84375,87573.8125,87573.8046875,303.96875,0.0078125,303.9609375
26,87436.2,87436.2,87315.9,87370.4,3545.0,87263.6875,87554.4375,87554.4296875,290.75,0.0078125,290.7421875
27,87363.6,87377.7,87303.3,87303.3,4063.0,87240.3359375,87530.515625,87530.515625,290.1796875,0.0,290.1796875
28,87303.2,87318.1,87204.0,87204.0,3420.0,87239.0859375,87499.421875,87499.421875,260.3359375,0.0,260.3359375
29,87200.9,87280.4,87200.9,87257.5,3839.0,87241.6953125,87476.3828125,87476.3828125,234.6875,0.0,234.6875
30,87263.5,87278.8,87211.2,87226.8,13526.0,87229.3359375,87452.609375,87452.609375,223.2734375,0.0,223.2734375
31,87226.1,87258.0,87206.6,87206.6,2066.0,87207.9609375,87429.1796875,87429.1796875,221.21875,0.0,221.21875
32,87205.6,87205.6,87154.6,87173.2,5683.0,87209.6875,87404.8046875,87404.8046875,195.1171875,0.0,195.1171875
33,87173.3,87298.7,87173.3,87286.8,7188.0,87215.1328125,87393.5625,87393.5625,178.4296875,0.0,178.4296875
34,87283.7,87286.9,87182.4,87186.8,7126.0,87202.359375,87373.8671875,87373.8671875,171.5078125,0.0,171.5078125
35,87183.8,87183.8,87080.0,87080.0,7382.0,87193.8671875,87345.8828125,87345.8828125,152.015625,0.0,152.015625
36,87080.0,87113.9,86878.6,86895.9,34739.0,87165.2421875,87303.0234375,87303.0234375,137.78125,0.0,137.78125
37,86901.3,86939.1,86776.4,86781.0,17855.0,87133.375,87253.3046875,87253.3046875,119.9296875,0.0,119.9296875
38,86790.1,86895.4,86767.0,86877.6,13092.0,87073.1328125,87217.5234375,87217.5234375,144.390625,0.0,144.390625
39,86877.7,86894.4,86752.5,86799.2,5481.0,87010.0546875,87177.6796875,87177.6796875,167.625,0.0,167.625
40,86806.7,86985.6,86797.5,86985.6,5524.0,86971.9921875,87159.3828125,87159.3828125,187.390625,0.0,187.390625
41,86985.6,87091.2,86985.6,87037.7,6819.0,86933.8203125,87147.796875,87147.796875,213.9765625,0.0,213.9765625
42,87042.2,87085.2,87006.2,87022.0,9574.0,86880.8125,87135.8125,87135.8125,255.0,0.0,255.0
43,87016.0,87059.1,86992.0,87055.7,4562.0,86835.3984375,87128.1796875,87128.1796875,292.78125,0.0,292.78125
44,87037.1,87118.4,87034.5,87034.5,4385.0,86797.6015625,87119.2578125,87119.2578125,321.65625,0.0,321.65625
45,87034.0,87079.4,86918.0,86918.1,5614.0,86736.28125,87100.1015625,87100.1015625,363.8203125,0.0,363.8203125
46,86922.3,86999.7,86852.1,86965.0,3934.0,86637.9609375,87087.234375,87087.234375,449.2734375,0.0,449.2734375
47,86973.7,87026.1,86973.7,87022.1,3649.0,86536.6328125,87081.03125,87081.03125,544.3984375,0.0,544.3984375
48,87024.4,87024.4,86888.0,86937.6,4724.0,86449.9140625,87067.375,87067.375,617.4609375,0.0,617.4609375
49,86937.7,86946.2,86784.8,86834.6,8186.0,86401.140625,87045.203125,87045.203125,644.0625,0.0,644.0625
50,86834.1,86875.0,86816.4,86816.4,3229.0,86354.5546875,87023.4140625,87023.4140625,668.859375,0.0,668.859375
51,86811.0,86811.0,86736.8,86747.7,8672.0,86279.3671875,86997.15625,86997.15625,717.7890625,0.0,717.7890625
