bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,nan,0.0,nan,nan
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,nan,0.0,nan,nan
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,0.0,nan,0.0,nan,nan
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,0.0,nan,0.0,nan,nan
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,0.0,nan,0.0,nan,nan
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,0.0,nan,0.0,nan,nan
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,0.0,nan,0.0,nan,nan
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,0.0,nan,0.0,nan,nan
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,0.0,nan,0.0,nan,nan
9,87657.2,87718.7,87621.5,87639.1,4116.0,0.0,0.0,nan,0.0,nan,nan
10,87649.7,87726.9,87580.2,87580.2,5538.0,0.0,0.0,nan,0.0,nan,nan
11,87583.2,87604.9,87412.0,87430.1,7937.0,0.0,0.0,nan,0.0,nan,nan
12,87427.6,87504.4,87326.9,87504.4,28049.0,0.0,0.0,nan,0.0,nan,nan
13,87505.9,87647.8,87477.7,87600.8,5425.0,0.0,0.0,nan,0.0,nan,nan
14,87596.5,87649.2,87531.3,87564.6,5409.0,0.0,0.0,nan,0.0,nan,nan
15,87564.6,87669.2,87529.0,87648.0,5356.0,0.0,0.0,nan,0.0,nan,nan
16,87649.4,87731.5,87631.9,87721.9,8400.0,0.0,0.0,nan,0.0,nan,nan
17,87708.6,87759.6,87682.4,87759.6,6562.0,0.0,0.0,nan,0.0,nan,nan
18,87750.7,87750.7,87519.8,87519.8,4150.0,0.0,0.0,nan,0.0,nan,nan
19,87502.6,87590.1,87498.4,87562.6,3954.0,87209.3203125,87726.5546875,88002.515625,517.234375,275.9609375,793.1953125
20,87566.9,87578.4,87328.7,87343.5,11941.0,87229.1953125,87690.0703125,87988.375,460.875,298.3046875,759.1796875
21,87343.4,87344.0,87227.3,87256.3,12379.0,87240.03125,87648.7578125,87940.5703125,408.7265625,291.8125,700.5390625
22,87252.7,87420.8,87252.7,87392.1,3767.0,87259.1796875,87624.3125,87920.5703125,365.1328125,296.2578125,661.390625
23,87392.1,87404.4,87287.0,87371.4,6300.0,87260.0234375,87600.2265625,87890.3359375,340.203125,290.109375,630.3125
24,87372.5,87475.6,87339.6,87471.7,3668.0,87260.6875,87587.984375,87876.28125,327.296875,288.296875,615.59375
25,87471.1,87484.4,87403.9,87439.2,2831.0,87269.84375,87573.8125,87849.3828125,303.96875,275.5703125,579.5390625
26,87436.2,87436.2,87315.9,87370.4,3545.0,87263.6875,87554.4375,87827.1171875,290.75,272.6796875,563.4296875
27,87363.6,87377.7,87303.3,87303.3,4063.0,87240.3359375,87530.515625,87790.8125,290.1796875,260.296875,550.4765625
28,87303.2,87318.1,87204.0,87204.0,3420.0,87239.0859375,87499.421875,87756.5078125,260.3359375,257.0859375,517.421875
29,87200.9,87280.4,87200.9,87257.5,3839.0,87241.6953125,87476.3828125,87723.65625,234.6875,247.2734375,481.9609375
30,87263.5,87278.8,87211.2,87226.8,13526.0,87229.3359375,87452.609375,87688.6796875,223.2734375,236.0703125,459.34375
31,87226.1,87258.0,87206.6,87206.6,2066.0,87207.9609375,87429.1796875,87651.921875,221.21875,222.7421875,443.9609375
32,87205.6,87205.6,87154.6,87173.2,5683.0,87209.6875,87404.8046875,87615.671875,195.1171875,210.8671875,405.984375
33,87173.3,87298.7,87173.3,87286.8,7188.0,87215.1328125,87393.5625,87608.4453125,178.4296875,214.8828125,393.3125
34,87283.7,87286.9,87182.4,87186.8,7126.0,87202.359375,87373.8671875,87588.1640625,171.5078125,214.296875,385.8046875
35,87183.8,87183.8,87080.0,87080.0,7382.0,87193.8671875,87345.8828125,87560.109375,152.015625,214.2265625,366.2421875
