bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,87930.203125,5735.0,nan,82195.203125,nan,nan
1,88146.7,88160.1,88081.7,88081.7,4816.0,87657.203125,4816.0,nan,82841.203125,nan,nan
2,88080.4,88080.4,87849.9,87850.0,10862.0,87596.5,10862.0,nan,76734.5,nan,nan
3,87857.1,87944.5,87780.2,87930.1,15390.0,87502.6015625,15390.0,nan,72112.6015625,nan,nan
4,87930.2,88039.6,87930.2,87991.6,4863.0,87372.5,4863.0,nan,82509.5,nan,nan
5,87980.8,87980.8,87852.6,87856.9,2161.0,87200.8984375,2161.0,nan,85039.8984375,nan,nan
6,87862.5,87869.1,87773.9,87797.8,3002.0,87283.703125,3002.0,nan,84281.703125,nan,nan
7,87794.2,87794.2,87660.4,87672.7,7045.0,86877.703125,7045.0,nan,79832.703125,nan,nan
8,87672.6,87704.8,87569.3,87664.0,6992.0,87037.1015625,6992.0,nan,80045.1015625,nan,nan
9,87657.2,87718.7,87621.5,87639.1,4116.0,86937.703125,4116.0,nan,82821.703125,nan,nan
10,87649.7,87726.9,87580.2,87580.2,5538.0,86713.3984375,5538.0,nan,81175.3984375,nan,nan
11,87583.2,87604.9,87412.0,87430.1,7937.0,86561.1015625,7937.0,nan,78624.1015625,nan,nan
12,87427.6,87504.4,87326.9,87504.4,28049.0,86880.796875,28049.0,nan,58831.796875,nan,nan
13,87505.9,87647.8,87477.7,87600.8,5425.0,87042.796875,5425.0,nan,81617.796875,nan,nan
14,87596.5,87649.2,87531.3,87564.6,5409.0,87127.1015625,5409.0,nan,81718.1015625,nan,nan
15,87564.6,87669.2,87529.0,87648.0,5356.0,87385.296875,5356.0,nan,82029.296875,nan,nan
16,87649.4,87731.5,87631.9,87721.9,8400.0,87101.5,8400.0,nan,78701.5,nan,nan
17,87708.6,87759.6,87682.4,87759.6,6562.0,87273.296875,6562.0,nan,80711.296875,nan,nan
18,87750.7,87750.7,87519.8,87519.8,4150.0,87146.8984375,4150.0,nan,82996.8984375,nan,nan
19,87502.6,87590.1,87498.4,87562.6,3954.0,87205.40625,7288.10009765625,7288.10009765625,79917.30615234375,0.0,79917.30615234375
20,87566.9,87578.4,87328.7,87343.5,11941.0,87173.828125,7598.39990234375,7598.39990234375,79575.42822265625,0.0,79575.42822265625
21,87343.4,87344.0,87227.3,87256.3,12379.0,87159.3359375,7976.55029296875,7976.5498046875,79182.78564453125,0.00048828125,79182.7861328125
22,87252.7,87420.8,87252.7,87392.1,3767.0,87146.90625,7621.80029296875,7621.7998046875,79525.10595703125,0.00048828125,79525.1064453125
23,87392.1,87404.4,87287.0,87371.4,6300.0,87133.4609375,7167.30029296875,7167.2998046875,79966.16064453125,0.00048828125,79966.1611328125
24,87372.5,87475.6,87339.6,87471.7,3668.0,87126.3359375,7107.55029296875,7107.5498046875,80018.78564453125,0.00048828125,80018.7861328125
25,87471.1,87484.4,87403.9,87439.2,2831.0,87133.2578125,7141.05029296875,7141.0498046875,79992.20751953125,0.00048828125,79992.2080078125
26,87436.2,87436.2,87315.9,87370.4,3545.0,87128.1953125,7168.2001953125,7168.2001953125,79959.9951171875,0.0,79959.9951171875
27,87363.6,87377.7,87303.3,87303.3,4063.0,87137.71875,7019.10009765625,7019.10009765625,80118.61865234375,0.0,80118.61865234375
28,87303.2,87318.1,87204.0,87204.0,3420.0,87151.1796875,6840.5,6840.5,80310.6796875,0.0,80310.6796875
29,87200.9,87280.4,87200.9,87257.5,3839.0,87164.328125,6826.64990234375,6826.64990234375,80337.67822265625,0.0,80337.67822265625
30,87263.5,87278.8,87211.2,87226.8,13526.0,87184.4921875,7226.05029296875,7226.0498046875,79958.44189453125,0.00048828125,79958.4423828125
31,87226.1,87258.0,87206.6,87206.6,2066.0,87211.3359375,6932.5,6932.5,80278.8359375,0.0,80278.8359375
32,87205.6,87205.6,87154.6,87173.2,5683.0,87229.8046875,5814.2001953125,5814.2001953125,81415.6044921875,0.0,81415.6044921875
33,87173.3,87298.7,87173.3,87286.8,7188.0,87239.671875,5902.35009765625,5902.35009765625,81337.32177734375,0.0,81337.32177734375
34,87283.7,87286.9,87182.4,87186.8,7126.0,87233.484375,5988.2001953125,5988.2001953125,81245.2841796875,0.0,81245.2841796875
35,87183.8,87183.8,87080.0,87080.0,7382.0,87219.453125,6089.5,6089.5,81129.953125,0.0,81129.953125
36,87080.0,87113.9,86878.6,86895.9,34739.0,87213.21875,7406.4501953125,7406.4501953125,79806.7685546875,0.0,79806.7685546875
37,86901.3,86939.1,86776.4,86781.0,17855.0,87191.515625,7971.10009765625,7971.10009765625,79220.41552734375,0.0,79220.41552734375
38,86790.1,86895.4,86767.0,86877.6,13092.0,87156.9609375,8418.2001953125,8418.2001953125,78738.7607421875,0.0,78738.7607421875
39,86877.7,86894.4,86752.5,86799.2,5481.0,87092.015625,8494.5498046875,8494.5498046875,78597.4658203125,0.0,78597.4658203125
40,86806.7,86985.6,86797.5,86985.6,5524.0,87064.4921875,8173.7001953125,8173.7001953125,78890.7919921875,0.0,78890.7919921875
41,86985.6,87091.2,86985.6,87037.7,6819.0,87024.8515625,7895.7001953125,7895.7001953125,79129.1513671875,0.0,79129.1513671875
42,87042.2,87085.2,87006.2,87022.0,9574.0,86978.8515625,8186.05029296875,8186.0498046875,78792.80126953125,0.00048828125,78792.8017578125
43,87016.0,87059.1,86992.0,87055.7,4562.0,86940.4921875,8099.14990234375,8099.14990234375,78841.34228515625,0.0,78841.34228515625
44,87037.1,87118.4,87034.5,87034.5,4385.0,86895.4375,8135.0,8135.0,78760.4375,0.0,78760.4375
45,87034.0,87079.4,86918.0,86918.1,5614.0,86838.9609375,8274.150390625,8274.150390625,78564.810546875,0.0,78564.810546875
46,86922.3,86999.7,86852.1,86965.0,3934.0,86767.9296875,8293.6005859375,8293.599609375,78474.3291015625,0.0009765625,78474.330078125
47,86973.7,87026.1,86973.7,87022.1,3649.0,86690.9921875,8272.900390625,8272.900390625,78418.091796875,0.0,78418.091796875
48,87024.4,87024.4,86888.0,86937.6,4724.0,86605.5859375,8338.1005859375,8338.099609375,78267.4853515625,0.0009765625,78267.486328125
49,86937.7,86946.2,86784.8,86834.6,8186.0,86546.8046875,8555.4501953125,8555.4501953125,77991.3544921875,0.0,77991.3544921875
50,86834.1,86875.0,86816.4,86816.4,3229.0,86482.4375,8040.60009765625,8040.60009765625,78441.83740234375,0.0,78441.83740234375
51,86811.0,86811.0,86736.8,86747.7,8672.0,86408.7734375,8370.900390625,8370.900390625,78037.873046875,0.0,78037.873046875
52,86747.7,86754.9,86632.4,86663.7,10621.0,86329.125,8617.7998046875,8617.7998046875,77711.3251953125,0.0,77711.3251953125
53,86662.6,86733.1,86656.0,86711.6,5251.0,86247.3515625,8520.9501953125,8520.9501953125,77726.4013671875,0.0,77726.4013671875
54,86713.4,86797.0,86694.8,86776.0,8816.0,86180.34375,8605.4501953125,8605.4501953125,77574.8935546875,0.0,77574.8935546875
55,86771.9,86843.4,86754.9,86843.1,8289.0,86117.890625,8650.7998046875,8650.7998046875,77467.0908203125,0.0,77467.0908203125
56,86839.4,86843.2,86788.6,86793.6,4040.0,86072.4296875,7115.85009765625,7115.85009765625,78956.57958984375,0.0,78956.57958984375
57,86791.6,86810.2,86771.6,86771.6,1637.0,86028.3515625,6304.9501953125,6304.9501953125,79723.4013671875,0.0,79723.4013671875
58,86771.7,86775.9,86561.1,86561.5,18764.0,86003.8671875,6588.55029296875,6588.5498046875,79415.31689453125,0.00048828125,79415.3173828125
59,86561.1,86653.2,86547.3,86632.5,11099.0,85993.046875,6869.4501953125,6869.4501953125,79123.5966796875,0.0,79123.5966796875
60,86623.2,86749.9,86578.5,86691.8,11360.0,85946.7578125,7161.25,7161.25,78785.5078125,0.0,78785.5078125
61,86692.1,86807.3,86674.1,86777.2,4944.0,85900.2734375,7067.5,7067.5,78832.7734375,0.0,78832.7734375
62,86777.1,86912.6,86772.8,86888.4,31143.0,85866.2734375,8145.9501953125,8145.9501953125,77720.3232421875,0.0,77720.3232421875
63,86890.1,86910.7,86847.2,86877.6,6761.0,85826.0390625,8255.900390625,8255.900390625,77570.138671875,0.0,77570.138671875
64,86880.8,86880.8,86707.1,86707.1,6576.0,85792.953125,8365.4501953125,8365.4501953125,77427.5029296875,0.0,77427.5029296875
65,86703.9,87030.3,86664.3,87004.3,7093.0,85776.96875,8439.400390625,8439.400390625,77337.568359375,0.0,77337.568359375
66,87003.4,87029.3,86934.7,86960.8,9135.0,85763.9453125,8699.4501953125,8699.4501953125,77064.4951171875,0.0,77064.4951171875
67,86961.3,87031.1,86961.3,87016.8,6887.0,85760.921875,8861.3505859375,8861.349609375,76899.5712890625,0.0009765625,76899.572265625
68,87018.6,87098.9,86982.8,87042.9,4779.0,85776.7421875,8864.1005859375,8864.099609375,76912.6416015625,0.0009765625,76912.642578125
69,87042.8,87089.4,86993.0,87040.7,3567.0,85763.6171875,8633.150390625,8633.150390625,77130.466796875,0.0,77130.466796875
